symbol,d,liquidity_quintile,median_daily_quote_volume,side,r_multiple
1MCHEEMSUSDT,4,1,30059.17335,short,1.9875247773368783
AAVEUSDT,3,5,8475931.217500001,long,-1.1283314852771393
AAVEUSDT,3,5,8475931.217500001,short,1.9823599178030875
AAVEUSDT,3,5,8475931.217500001,long,-1.0816907084409542
AAVEUSDT,3,5,8475931.217500001,long,1.9840105916540243
AAVEUSDT,3,5,8475931.217500001,long,1.9840105916540243
AAVEUSDT,3,5,8475931.217500001,short,-1.098899430797463
AAVEUSDT,3,5,8475931.217500001,long,1.979814363204882
AAVEUSDT,3,5,8475931.217500001,long,-1.0834154977056396
AAVEUSDT,3,5,8475931.217500001,short,1.9872546888996878
AAVEUSDT,3,5,8475931.217500001,short,-1.0421491744266134
AAVEUSDT,3,5,8475931.217500001,long,-1.0446169762205597
AAVEUSDT,3,5,8475931.217500001,long,-1.1343629541894218
AAVEUSDT,3,5,8475931.217500001,short,-1.0813324399533795
AAVEUSDT,3,5,8475931.217500001,long,-1.0398604425054947
AAVEUSDT,3,5,8475931.217500001,long,1.975334488821307
AAVEUSDT,3,5,8475931.217500001,short,-1.1183342644761243
AAVEUSDT,3,5,8475931.217500001,short,-1.2297542927806107
AAVEUSDT,3,5,8475931.217500001,short,-1.14703894357504
AAVEUSDT,3,5,8475931.217500001,short,-1.0648231753725235
AAVEUSDT,3,5,8475931.217500001,long,-1.0797070473335464
AAVEUSDT,3,5,8475931.217500001,short,1.9563316749295816
AAVEUSDT,3,5,8475931.217500001,long,-1.1553504077304044
AAVEUSDT,3,5,8475931.217500001,short,1.9613522380548398
AAVEUSDT,3,5,8475931.217500001,short,-1.099897253609912
AAVEUSDT,3,5,8475931.217500001,long,-1.155282511992267
AAVEUSDT,3,5,8475931.217500001,short,-1.0887525002029477
AAVEUSDT,3,5,8475931.217500001,long,-1.1270466532530778
AAVEUSDT,3,5,8475931.217500001,short,1.975662160089821
AAVEUSDT,3,5,8475931.217500001,short,-1.1737144874403587
AAVEUSDT,3,5,8475931.217500001,short,-1.1543206139303812
AAVEUSDT,3,5,8475931.217500001,short,1.992465020873287
AAVEUSDT,3,5,8475931.217500001,short,1.9749773181923218
AAVEUSDT,3,5,8475931.217500001,short,-1.053937097113858
AAVEUSDT,3,5,8475931.217500001,short,-1.053937097113858
AAVEUSDT,3,5,8475931.217500001,long,-1.086195739297543
