accepted,accept_rate,avg_r,final_equity,total_return,mdd_pct,return_over_mdd,case,slots,risk_per_trade,risk_cap
3196,0.20050188205771644,0.23594072970961316,6.301061024949998,5.301061024949998,0.3575377106972093,14.82657875336498,slots_3,3,0.0025,
4325,0.27132998745294856,0.2301140634788204,11.062778185114823,10.062778185114823,0.4373152689989277,23.010351795284553,slots_5,5,0.0025,
6227,0.39065244667503135,0.19439024952822917,17.023712701486836,16.023712701486836,0.5740040479463119,27.915678920413427,slots_10,10,0.0025,
3783,0.23732747804265997,0.23153887722522867,8.356442297194638,7.356442297194638,0.4310210649230651,17.067477429456314,riskcap_0.010,10,0.0025,0.01
4800,0.30112923462986196,0.2088167160760395,11.04009569103074,10.04009569103074,0.5106036928145055,19.6631866011164,riskcap_0.015,10,0.0025,0.015
5599,0.3512547051442911,0.19064192379526426,12.44739852600908,11.44739852600908,0.561636559955265,20.38221750898994,riskcap_0.020,10,0.0025,0.02
