symbol,period,start,end,d,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
BTCUSDT,full_pre2024,2019-07-10 11:00:00+00:00,2024-09-23 00:00:00+00:00,3,45637,655,0.9465124998646395,-0.019018491094352837,-42.0821048868984,-51.90795845714028,350,0.985783459339959,0.01591297578066487,305,0.9031439194190984,-0.059103780950930544
BTCUSDT,full_pre2024,2019-07-10 11:00:00+00:00,2024-09-23 00:00:00+00:00,4,45637,291,0.9431820513376851,-0.015251098099633311,-19.85153173711469,-45.706573994422875,173,1.1608009143493963,0.13312234846245816,118,0.6829643136730853,-0.23278165958473357
BTCUSDT,2019_2021,2019-07-10 11:00:00+00:00,2022-01-01 00:00:00+00:00,3,21733,336,0.9900607620494225,0.016154320318603674,-3.837441003875075,-43.940928508633185,189,1.0263736625191484,0.03872241182529634,147,0.9453063419469503,-0.012861797332858398
BTCUSDT,2019_2021,2019-07-10 11:00:00+00:00,2022-01-01 00:00:00+00:00,4,21733,132,0.828412404364255,-0.1114962252251852,-29.4666051078438,-45.706573994422875,79,1.022653488584919,0.019481784477570645,53,0.5909283474126609,-0.3067275981783497
BTCUSDT,2022_2023,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,3,17520,234,0.9327295248715032,-0.02542752228479748,-19.90453437475843,-47.69460332990699,121,0.9092624993130707,-0.0391641063715873,113,0.958345629510254,-0.010718436669739382
BTCUSDT,2022_2023,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,4,17520,114,1.1342714935408822,0.11337059240166059,23.700908960213706,-24.189936052550365,71,1.4918837797246702,0.3302073614096209,43,0.6958495061006891,-0.2446622122393901
BTCUSDT,2024_pre_cutoff,2024-01-01 00:00:00+00:00,2024-09-23 00:00:00+00:00,3,6384,83,0.7392303800216103,-0.191228317916887,-29.743217895933995,-39.17155891996652,39,0.9971475643892042,0.02584122995969538,44,0.5507202494058623,-0.38363087171658505
BTCUSDT,2024_pre_cutoff,2024-01-01 00:00:00+00:00,2024-09-23 00:00:00+00:00,4,6384,42,0.8088741218948561,-0.13047103372843333,-12.017422618692708,-16.745515988562698,22,0.7636495486969631,-0.17849903838797535,20,0.8599704626553198,-0.07764022860293712
ETHUSDT,full_pre2024,2019-08-10 07:00:00+00:00,2024-09-23 00:00:00+00:00,3,44897,675,1.169273141392319,0.13809737558109725,374.400649637763,-38.12200776968512,358,1.1024764210997215,0.10542138482123868,317,1.2469061804796657,0.1749995985843445
ETHUSDT,full_pre2024,2019-08-10 07:00:00+00:00,2024-09-23 00:00:00+00:00,4,44897,293,1.1372572671050005,0.13807496298062608,96.45789937068909,-26.489468026727618,147,0.9911219217941347,0.026406715678382753,146,1.303874263920088,0.25050806129178893
ETHUSDT,2019_2021,2019-08-10 07:00:00+00:00,2022-01-01 00:00:00+00:00,3,20993,335,1.2585545044878836,0.18274976308303972,191.55527221910552,-23.493616351116916,177,1.1299566230540645,0.13527875867069303,158,1.406584912242516,0.2359293060006686
ETHUSDT,2019_2021,2019-08-10 07:00:00+00:00,2022-01-01 00:00:00+00:00,4,20993,131,1.5721689172963862,0.33644275547591485,126.64121335651708,-17.41893034209708,61,1.1570369486313334,0.12095634750409523,70,2.038724907865212,0.524223768137072
ETHUSDT,2022_2023,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,3,17520,244,1.0319003521650132,0.0435502155840118,10.801658599265206,-38.1220077696851,128,1.055966164787894,0.03932980458135138,116,1.005877748329721,0.04820722082832671
ETHUSDT,2022_2023,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,4,17520,122,0.9439302520638938,-0.016762721376347208,-8.99003654742807,-24.696077352391534,63,0.8497556090828648,-0.09619557094243776,59,1.0534217960998797,0.06805540612642746
ETHUSDT,2024_pre_cutoff,2024-01-01 00:00:00+00:00,2024-09-23 00:00:00+00:00,3,6384,94,1.3080512808831892,0.21886555883436945,44.28498133901586,-17.235452454325486,52,1.104417732376892,0.130436682755762,42,1.5972726750032644,0.3283489292174072
ETHUSDT,2024_pre_cutoff,2024-01-01 00:00:00+00:00,2024-09-23 00:00:00+00:00,4,6384,40,0.9168996782667604,-0.039324620152676036,-4.755113305427338,-16.524803175089655,23,1.1233355724279273,0.11146830331939275,17,0.689188810721562,-0.2433385754384161
