symbol,first,last,candles
BTCUSDT,2019-07-10 11:00:00+00:00,2024-09-22 23:00:00+00:00,45637
ETHUSDT,2019-08-10 07:00:00+00:00,2024-09-22 23:00:00+00:00,44897
