d,engine,cost_mult,symbols,total_trades,median_pf,median_expectancy_r,pct_symbols_pf_gt_1,median_max_dd_pct
3,causal,1.0,6,1747,1.078053903346475,0.08123173100940154,100.0,-33.427850201994275
3,causal,2.0,6,1747,0.9713738984505347,-0.0014351414166898185,33.33333333333333,-45.35345671393525
3,reference,1.0,6,1339,1.060037254778539,0.062157267001931665,66.66666666666666,-32.36321593238738
3,reference,2.0,6,1339,0.9391188730882596,-0.017034412912951286,16.666666666666664,-41.77388169432018
4,causal,1.0,6,794,1.0114061174323314,0.027865114122568747,50.0,-26.767629325442066
4,causal,2.0,6,794,0.9022459507491762,-0.052139701007624134,16.666666666666664,-33.281571156059584
4,reference,1.0,6,615,1.0043093087661252,0.02489302263121814,66.66666666666666,-30.216905516452602
4,reference,2.0,6,615,0.9061446498679175,-0.05113109780019484,16.666666666666664,-34.2654073298768
