symbol,d,start,end,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
BTCUSDT,3,2019-07-10 11:00:00+00:00,2024-09-22 23:00:00+00:00,45637,655,0.9465124998646395,-0.019018491094352837,-42.0821048868984,-51.90795845714028,350,0.985783459339959,0.01591297578066487,305,0.9031439194190984,-0.059103780950930544
BTCUSDT,4,2019-07-10 11:00:00+00:00,2024-09-22 23:00:00+00:00,45637,291,0.9431820513376851,-0.015251098099633311,-19.85153173711469,-45.706573994422875,173,1.1608009143493963,0.13312234846245816,118,0.6829643136730853,-0.23278165958473357
ETHUSDT,3,2019-08-10 07:00:00+00:00,2024-09-22 23:00:00+00:00,44897,675,1.169273141392319,0.13809737558109725,374.400649637763,-38.12200776968512,358,1.1024764210997215,0.10542138482123868,317,1.2469061804796657,0.1749995985843445
ETHUSDT,4,2019-08-10 07:00:00+00:00,2024-09-22 23:00:00+00:00,44897,293,1.1372572671050005,0.13807496298062608,96.45789937068909,-26.489468026727618,147,0.9911219217941347,0.026406715678382753,146,1.303874263920088,0.25050806129178893
