pair,d,bitget_signals,tradfi_signals,exact_same_hour_side,jaccard,bitget_match_pct,tradfi_match_pct
SP500USDT__ES=F,3,17,19,2,0.058823529411764705,11.76470588235294,10.526315789473683
SP500USDT__ES=F,4,8,11,1,0.05555555555555555,12.5,9.090909090909092
NDX100USDT__NQ=F,3,17,22,4,0.11428571428571428,23.52941176470588,18.181818181818183
NDX100USDT__NQ=F,4,9,8,0,0.0,0.0,0.0
