pair,common_1h_rows,return_corr_pearson,return_corr_spearman,normalized_level_corr,median_abs_return_diff_bp,p95_abs_return_diff_bp
SP500USDT__ES=F,1926,0.8097829618825864,0.7055890582131841,0.9807699185766003,4.965139435192389,21.93999197346863
NDX100USDT__NQ=F,1926,0.8922582357401432,0.830912739597355,0.9879725668899614,6.291714355632916,27.53717188421232
