pair,bitget_symbol,tradfi_symbol,bitget_contract_isRwa,bitget_launchTime,bitget_raw_1h_rows,bitget_1h_rows,tradfi_1h_rows,common_1h_rows,common_start,common_end
SP500USDT__ES=F,SP500USDT,ES=F,YES,,2970,2970,11503,1926,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00
NDX100USDT__NQ=F,NDX100USDT,NQ=F,YES,,2970,2970,11505,1926,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00
