variant,timeframe,displacement,expiry,trades,win_rate,profit_factor,expectancy_r,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r,symbols_tested,symbols_ge5_trades,pct_symbols_positive_expectancy,pct_symbols_pf_gt_1,median_symbol_expectancy_r,median_symbol_pf,median_symbol_max_dd_pct
1h_d3_e24,1h,3,24,2797,36.18162316767965,1.0224136224602394,0.016930772034133762,1395,0.9336358862651479,-0.04497090010560876,1402,1.1172854845193891,0.0785233773372299,100,99,47.474747474747474,45.45454545454545,-0.01335583431962345,0.953557246585408,-16.457525607831613
1h_d4_e24,1h,4,24,1308,36.162079510703364,1.029842726071902,0.021011360175553193,596,0.9525901386934191,-0.026021459296612884,712,1.0990634654334817,0.060381529284276446,100,95,56.84210526315789,54.736842105263165,0.04026292113258287,1.0276660837806832,-10.64599021051373
15m_d3_e24,15m,3,24,6955,37.51258087706686,0.99868356798109,-0.0038223877291987964,3447,1.005567640211064,-0.0006972715273754446,3508,0.9919195978940131,-0.006893161830591357,100,100,49.0,45.0,-0.0047786062875179135,0.9634650512445075,-24.641353183575454
15m_d4_e24,15m,4,24,3169,37.74061218049858,1.0154638166230878,0.008960424439262094,1572,0.9995180470090013,0.0017718919753524343,1597,1.0313813587178857,0.01603642508626649,100,98,48.97959183673469,48.97959183673469,-0.011246918180439151,0.9712024590017734,-16.611488062433928
15m_d12_e96,15m,12,96,4,50.0,1.802038720509234,0.43425881731895305,1,inf,1.9198009185161815,3,0.9156118876441134,-0.06092188308012303,100,0,,,,,
15m_d16_e96,15m,16,96,0,,,,0,,,0,,,100,0,,,,,
