variant,regime,side,trades,win_rate,profit_factor,expectancy_r
15m_d12_e96,BULLISH,ALL,1,0.0,0.0,-1.1178120622671452
15m_d12_e96,BULLISH,LONG,0,,,
15m_d12_e96,BULLISH,SHORT,1,0.0,0.0,-1.1178120622671452
15m_d12_e96,NEUTRAL,ALL,3,66.66666666666666,3.7241877612553793,0.9516157771809858
15m_d12_e96,NEUTRAL,LONG,1,100.0,inf,1.9198009185161813
15m_d12_e96,NEUTRAL,SHORT,2,50.0,1.8922515633074428,0.4675232065133881
15m_d12_e96,BEARISH,ALL,0,,,
15m_d12_e96,BEARISH,LONG,0,,,
15m_d12_e96,BEARISH,SHORT,0,,,
15m_d3_e24,BULLISH,ALL,1347,38.01039346696362,1.0452527705584322,0.0115906619552906
15m_d3_e24,BULLISH,LONG,719,38.38664812239222,1.0761056025422366,0.027174685938704396
15m_d3_e24,BULLISH,SHORT,628,37.57961783439491,1.0109355668682616,-0.006251556586229306
15m_d3_e24,NEUTRAL,ALL,3580,36.25698324022346,0.9440214726625328,-0.04434490274669424
15m_d3_e24,NEUTRAL,LONG,1821,36.13399231191653,0.9311422271947168,-0.05063432843310383
15m_d3_e24,NEUTRAL,SHORT,1759,36.38430926662877,0.9575922810081627,-0.03783379178879097
15m_d3_e24,BEARISH,ALL,2028,39.39842209072978,1.068317327067503,0.05747407471539023
15m_d3_e24,BEARISH,LONG,907,40.46306504961411,1.108492943281805,0.07746749496349557
15m_d3_e24,BEARISH,SHORT,1121,38.537020517395185,1.0364805895651639,0.04129741801152622
15m_d4_e24,BULLISH,ALL,576,35.76388888888889,0.9127555723679315,-0.05445084000158136
15m_d4_e24,BULLISH,LONG,291,36.769759450171826,0.9644033101960523,-0.02420858701804125
15m_d4_e24,BULLISH,SHORT,285,34.73684210526316,0.8617836044876552,-0.08532977199530128
15m_d4_e24,NEUTRAL,ALL,1692,37.70685579196218,1.0123930000264274,0.006953081751417783
15m_d4_e24,NEUTRAL,LONG,853,37.162954279015246,0.9930957837958373,-0.005996646146561385
15m_d4_e24,NEUTRAL,SHORT,839,38.25983313468414,1.0322082089220015,0.02011889569298661
15m_d4_e24,BEARISH,ALL,901,39.067702552719204,1.0916433227602718,0.05326820706496509
15m_d4_e24,BEARISH,LONG,428,38.78504672897196,1.036712078055786,0.034918813482525415
15m_d4_e24,BEARISH,SHORT,473,39.323467230443974,1.144004598747111,0.06987188667021704
1h_d3_e24,BULLISH,ALL,484,36.77685950413223,1.053890021797548,0.028948032938773034
1h_d3_e24,BULLISH,LONG,253,32.41106719367589,0.8823610868278703,-0.10576308752935133
1h_d3_e24,BULLISH,SHORT,231,41.55844155844156,1.2711223667045584,0.1764887839276712
1h_d3_e24,NEUTRAL,ALL,1508,36.6710875331565,1.043084122063736,0.03443153665597706
1h_d3_e24,NEUTRAL,LONG,752,34.840425531914896,0.9488137457093279,-0.023462228937462033
1h_d3_e24,NEUTRAL,SHORT,756,38.492063492063494,1.1440386873483952,0.09201898602934505
1h_d3_e24,BEARISH,ALL,805,34.90683229813665,0.9661130583989399,-0.023078553838642758
1h_d3_e24,BEARISH,LONG,390,34.35897435897436,0.9388001169744788,-0.04700704702929967
1h_d3_e24,BEARISH,SHORT,415,35.42168674698795,0.9924371262733785,-0.0005915361413989242
1h_d4_e24,BULLISH,ALL,229,44.54148471615721,1.456426251066034,0.27161920451407845
1h_d4_e24,BULLISH,LONG,99,44.44444444444444,1.4320776432428286,0.26723678108075727
1h_d4_e24,BULLISH,SHORT,130,44.61538461538462,1.47593396321514,0.27495658851329996
1h_d4_e24,NEUTRAL,ALL,705,35.46099290780142,1.002834682929373,0.001856002557044527
1h_d4_e24,NEUTRAL,LONG,311,34.08360128617363,0.9255571312002084,-0.04305919757021884
1h_d4_e24,NEUTRAL,SHORT,394,36.54822335025381,1.0681607234547972,0.03730937118541738
1h_d4_e24,BEARISH,ALL,374,32.35294117647059,0.8637973791148862,-0.09632732761180957
1h_d4_e24,BEARISH,LONG,186,30.64516129032258,0.786687113319713,-0.1536226915238612
1h_d4_e24,BEARISH,SHORT,188,34.04255319148936,0.9448588593609437,-0.03964148884775849
