variant,period,trades,win_rate,profit_factor,expectancy_r,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
1h_d3_e24,first_half,1459,36.39479095270733,1.0263561073533565,0.02418948338308199,755,0.8965573795524479,-0.06749333381435434,704,1.1797773839376073,0.12251409557635534
1h_d3_e24,second_half,1338,35.949177877429,1.01810515828924,0.009015630137186486,640,0.9785099463346965,-0.018401466589822967,698,1.0560182526791038,0.0341545153883126
1h_d4_e24,first_half,700,34.85714285714286,0.9741323746289133,-0.014682586329808405,332,0.7892739131816677,-0.15144012876954632,368,1.1677911314948637,0.1086965008712595
1h_d4_e24,second_half,608,37.66447368421053,1.0962651644563834,0.062106364375805044,264,1.1864287256350299,0.13170201897995498,344,1.0293402303639279,0.00869574572610855
15m_d3_e24,first_half,3418,37.50731421884142,0.9981275773953366,-0.0006104715872971685,1713,0.9093097998849002,-0.0658104989137915,1705,1.0941988164950718,0.06489547962108101
15m_d3_e24,second_half,3537,37.51767034209782,0.9992201814891074,-0.0069262411001402,1734,1.1077516819088233,0.06362738736128126,1803,0.9020354494798432,-0.0747798138966487
15m_d4_e24,first_half,1596,37.719298245614034,1.0114805152045097,0.008204853970195831,823,0.9778094990223015,-0.015176517355402309,773,1.0481348998070774,0.033098603777398025
15m_d4_e24,second_half,1573,37.76223776223776,1.0194848401937624,0.009727042664710113,749,1.023428325693206,0.020394776994325913,824,1.0158781258135932,3.0279299561767887e-05
15m_d12_e96,first_half,2,50.0,1.7740094621905458,0.4325985565727489,0,,,2,1.7740094621905458,0.4325985565727489
15m_d12_e96,second_half,2,50.0,1.831936197947936,0.4359190780651573,1,inf,1.9198009185161815,1,0.0,-1.047962762385867
