symbol,variant,engine,trades,profit_factor,expectancy_r,win_rate,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
BTCUSDT,1h_d3,reference,29,0.7094254016543314,-0.21615371744969375,31.03448275862069,-13.489189259526736,-24.138435739319927,19,0.943724050998077,-0.03037699160965796,10,0.36715838913223114,-0.5691294965457618
BTCUSDT,1h_d3,causal,40,0.6699117745159117,-0.25983659107567697,30.0,-20.712250335790795,-26.757815790661272,23,1.013922060047801,0.0323669407933131,17,0.32616775517971824,-0.6551707812513694
BTCUSDT,1h_d4,reference,11,0.34932369998422574,-0.6416182934867222,18.181818181818183,-13.526722492314057,-14.164425572105136,6,0.7683790514651949,-0.16415373999421048,5,0.0,-1.214575757677736
BTCUSDT,1h_d4,causal,16,0.5162190639848251,-0.43074723581738056,25.0,-13.446948206111287,-14.272582520377838,7,1.1335628218231986,0.13552197780119962,9,0.201119146335796,-0.8711788464096096
ETHUSDT,1h_d3,reference,39,1.0401301969249823,0.0508738183768719,38.46153846153846,2.2492706024996645,-17.872716598595378,21,1.016915873034576,0.03917106016675956,18,1.067735912669402,0.06452703628866954
ETHUSDT,1h_d3,causal,51,1.1690038288352989,0.1376731417452543,41.1764705882353,12.406336617201141,-14.588233191326935,27,0.9750397422813775,0.006523921919545896,24,1.4309970063491984,0.28521601404917624
ETHUSDT,1h_d4,reference,23,0.6109738162391352,-0.3306289108946382,26.08695652173913,-14.878864329535624,-19.86678869850534,11,0.3796682588274637,-0.5938252278865895,12,0.8831649949634758,-0.08936562031868274
ETHUSDT,1h_d4,causal,27,0.7124480824819747,-0.22442611569927837,29.62962962962963,-12.380711958822143,-17.428620730505283,13,0.49452726930160285,-0.44860596637263517,14,0.9671122159391023,-0.016259111502589914
SOLUSDT,1h_d3,reference,45,0.8594579689808874,-0.0939765190890925,33.333333333333336,-9.824130852405744,-22.590205133505474,23,0.6072554325274595,-0.3158799072949563,22,1.2002506812823166,0.1380133867624924
SOLUSDT,1h_d3,causal,57,1.0691659747263171,0.07474848947873684,38.59649122807018,6.639592933677996,-21.31928747791269,33,0.9766423609132344,0.008876900438961041,24,1.2093932794107367,0.16532192440842863
SOLUSDT,1h_d4,reference,22,0.9986359476669081,0.020271841862376808,36.36363636363637,0.38954051991983984,-11.306305896130455,13,1.118474683877299,0.09159218870789394,9,0.8458234905791365,-0.0827464369144813
SOLUSDT,1h_d4,causal,27,1.1997182516142055,0.15867630752144543,40.74074074074074,8.212611964198423,-10.480794460815591,16,1.4001877877680855,0.2560966598926191,11,0.955252671557953,0.016973976799738374
XRPUSDT,1h_d3,reference,32,0.8755987950682429,-0.06688210898698499,34.375,-5.48438154341524,-21.979432654008175,17,1.4509546819531711,0.3287579597586787,15,0.4385248801376778,-0.5152741868987373
XRPUSDT,1h_d3,causal,39,0.8256461060462132,-0.10152833346276402,33.333333333333336,-9.117502023920965,-25.659298249886763,21,1.1915078146240288,0.19309406359463382,18,0.5012761202884666,-0.4452544633630617
XRPUSDT,1h_d4,reference,16,0.5584168477409068,-0.35628502921491895,25.0,-11.31967458860964,-14.554495569964443,7,0.6263252095389047,-0.2537119534845413,9,0.5066290893997254,-0.4360640881163238
XRPUSDT,1h_d4,causal,19,0.5986835969908914,-0.3117317002988313,26.31578947368421,-11.821608658568472,-15.02246944644488,8,0.5162888252773824,-0.3657650419053969,11,0.6661772119374951,-0.2724347245849654
BNBUSDT,1h_d3,reference,40,0.8519574621939588,-0.08689358184786736,35.0,-8.349574371681289,-21.700971324551876,20,0.505144945072244,-0.39852046646301753,20,1.3242747462253666,0.22473330276728287
BNBUSDT,1h_d3,causal,53,0.8795087893315086,-0.06359565482458888,35.84905660377358,-8.708356352219592,-22.252199744343002,26,0.5590088885951519,-0.3458129730785443,27,1.2997247874253572,0.20816917016070155
BNBUSDT,1h_d4,reference,14,0.42405466282532933,-0.495462649874614,21.428571428571427,-13.408577361607342,-18.99191317417562,7,0.25177583779215384,-0.7062566351593642,7,0.6448106949792627,-0.28466866458986373
BNBUSDT,1h_d4,causal,23,0.7060988778099997,-0.22254420774955247,30.434782608695652,-10.594030392526498,-18.09537983719976,10,0.4012893328449489,-0.5613812777876311,13,1.0193805635182591,0.03809969227973882
DOGEUSDT,1h_d3,reference,34,1.1961269853922532,0.15308662081325308,41.1764705882353,9.259154985641072,-12.594474562643251,20,0.5784273388957071,-0.34043166150019283,14,2.966361942536097,0.85811273840389
DOGEUSDT,1h_d3,causal,47,1.0438540879973681,0.05393929126981721,38.297872340425535,3.017378196750675,-19.820955040313496,28,0.5661383290920297,-0.35627015058789496,19,2.277884903799624,0.6584584687443404
DOGEUSDT,1h_d4,reference,16,0.9973058631435425,0.02037673663836692,37.5,-0.0629213442746468,-13.875197712495831,9,0.4699547921638119,-0.45431758923494453,7,2.2685291904183607,0.6306980127611957
DOGEUSDT,1h_d4,causal,20,0.9085332651375572,-0.04621287177896599,35.0,-2.670330868267723,-13.018529456457218,12,0.5562647592995015,-0.35827559212382054,8,1.7337590076124347,0.4218812087383158
