variant,engine,symbols,trades,median_pf,median_expectancy_r,pct_symbols_pf_gt_1,trade_weighted_expectancy_r
1h_d3,causal,6,287,0.9616814386644383,-0.004828181777385837,50.0,-0.01361148966829515
1h_d3,reference,6,219,0.8675283820245652,-0.07688784541742617,33.33333333333333,-0.04075044704200862
1h_d4,causal,6,132,0.7092734801459872,-0.2234851617244154,16.666666666666664,-0.1563096751013364
1h_d4,reference,6,102,0.584695331990021,-0.3434569700547786,0.0,-0.2600715238963506
