feature,side,threshold,events,avg_event_r,positive_rate,sum_event_r
breadth_down_prev,le,0.5691588785046728,6,1.2657356006257119,0.8333333333333334,7.594413603754272
breadth_down_prev,ge,0.5691588785046728,24,0.006105045842572099,0.375,0.14652110022173037
breadth_down_prev,le,0.5871495327102804,12,0.615669420571795,0.5,7.38803304686154
breadth_down_prev,ge,0.5871495327102804,18,0.019605647617470166,0.4444444444444444,0.352901657114463
breadth_down_prev,le,0.6030373831775702,18,0.47922569054548486,0.4444444444444444,8.626062429818727
breadth_down_prev,ge,0.6030373831775702,12,-0.07376064382022683,0.5,-0.885127725842722
breadth_down_prev,le,0.6294392523364486,24,0.37011422987724835,0.4583333333333333,8.88274151705396
breadth_down_prev,ge,0.6294392523364486,6,-0.19030113551299274,0.5,-1.1418068130779564
breadth_down2_prev,le,0.3621495327102805,6,1.0673472015008145,0.6666666666666666,6.404083209004887
breadth_down2_prev,ge,0.3621495327102805,24,0.055702145623796495,0.4166666666666667,1.3368514949711159
breadth_down2_prev,le,0.47172897196261687,12,0.716235641322,0.6666666666666666,8.594827695864
breadth_down2_prev,ge,0.47172897196261687,18,-0.04743849954933311,0.3333333333333333,-0.853892991887996
breadth_down2_prev,le,0.4978971962616823,18,0.47738347199453707,0.5,8.592902495901667
breadth_down2_prev,ge,0.4978971962616823,12,-0.07099731599380542,0.4166666666666667,-0.8519677919256651
breadth_down2_prev,le,0.5371495327102804,24,0.41790148638586855,0.5416666666666666,10.029635673260845
breadth_down2_prev,ge,0.5371495327102804,6,-0.38145016154747396,0.16666666666666666,-2.288700969284844
market_medret_prev,le,-0.03991903007820723,6,-0.473442888528191,0.16666666666666666,-2.840657331169146
market_medret_prev,ge,-0.03991903007820723,24,0.4408996681310478,0.5416666666666666,10.581592035145148
market_medret_prev,le,-0.030370346678738436,12,-0.19039326314128266,0.25,-2.284719157695392
market_medret_prev,ge,-0.030370346678738436,18,0.5569807700928551,0.6111111111111112,10.025653861671392
market_medret_prev,le,-0.024164607742055148,18,0.021442112732001903,0.3888888888888889,0.3859580291760343
market_medret_prev,ge,-0.024164607742055148,12,0.6129147228999973,0.5833333333333334,7.354976674799968
market_medret_prev,le,-0.015962028603765943,24,0.055702145623796495,0.4166666666666667,1.3368514949711159
market_medret_prev,ge,-0.015962028603765943,6,1.0673472015008145,0.6666666666666666,6.404083209004887
breadth_accel,le,0.013551401869158932,6,-0.030785691273890543,0.3333333333333333,-0.18471414764334326
breadth_accel,ge,0.013551401869158932,24,0.33023536881747273,0.5,7.9256488516193455
breadth_accel,le,0.02990654205607477,12,0.6565225767014408,0.5833333333333334,7.87827092041729
breadth_accel,ge,0.02990654205607477,18,-0.007629789802293761,0.3888888888888889,-0.13733621644128768
breadth_accel,le,0.1016355140186915,18,0.7099674835115768,0.6111111111111112,12.779414703208381
breadth_accel,ge,0.1016355140186915,12,-0.4198733332693647,0.25,-5.0384799992323765
breadth_accel,le,0.2696261682242992,24,0.40213251700162345,0.4583333333333333,9.651180408038963
breadth_accel,ge,0.2696261682242992,6,-0.31837428401049334,0.5,-1.9102457040629601
btc_ret_prev,le,-0.03286454714920084,6,-0.006518990848727646,0.3333333333333333,-0.039113945092365876
btc_ret_prev,ge,-0.03286454714920084,24,0.324168693711182,0.5,7.780048649068368
btc_ret_prev,le,-0.023862446646250455,12,-0.12108754533502612,0.3333333333333333,-1.4530505440203134
btc_ret_prev,ge,-0.023862446646250455,18,0.5107769582220175,0.5555555555555556,9.193985247996315
btc_ret_prev,le,-0.01835912941922313,18,-0.10404687998575787,0.3888888888888889,-1.8728438397436418
btc_ret_prev,ge,-0.01835912941922313,12,0.801148211976637,0.5833333333333334,9.613778543719643
btc_ret_prev,le,-0.006050819038549291,24,0.2374776480513101,0.4583333333333333,5.699463553231443
btc_ret_prev,ge,-0.006050819038549291,6,0.3402451917907599,0.5,2.0414711507445595
btc_ret_3_prev,le,-0.0399088642719603,6,0.015166288871680403,0.3333333333333333,0.09099773323008242
btc_ret_3_prev,ge,-0.0399088642719603,24,0.31874737378108003,0.5,7.649936970745921
btc_ret_3_prev,le,-0.02720613403125698,12,0.436493500538053,0.5,5.237922006456636
btc_ret_3_prev,ge,-0.02720613403125698,18,0.1390562609732981,0.4444444444444444,2.503012697519366
btc_ret_3_prev,le,-0.024681202508621027,18,0.2636478633920367,0.4444444444444444,4.745661541056661
btc_ret_3_prev,ge,-0.024681202508621027,12,0.24960609690994517,0.5,2.995273162919342
btc_ret_3_prev,le,-0.017163589327747034,24,0.17936283545736367,0.4583333333333333,4.304708050976728
btc_ret_3_prev,ge,-0.017163589327747034,6,0.5727044421665456,0.5,3.4362266529992738
btc_vol_6_prev,le,0.007915653024207225,6,-0.018972558375139965,0.3333333333333333,-0.1138353502508398
btc_vol_6_prev,ge,0.007915653024207225,24,0.3272820855927851,0.5,7.854770054226842
btc_vol_6_prev,le,0.011831593161748316,12,0.33190676495616284,0.5,3.982881179473954
btc_vol_6_prev,ge,0.011831593161748316,18,0.208780751361225,0.4444444444444444,3.75805352450205
btc_vol_6_prev,le,0.014504966602918232,18,0.25274957298938305,0.4444444444444444,4.549492313808895
btc_vol_6_prev,ge,0.014504966602918232,12,0.2659535325139256,0.5,3.1914423901671074
btc_vol_6_prev,le,0.015112586282137718,24,0.4658272145712332,0.5416666666666666,11.179853149709597
btc_vol_6_prev,ge,0.015112586282137718,6,-0.5731530742889325,0.16666666666666666,-3.4389184457335946
