feature,n_good,n_bad,good_mean,bad_mean,diff,good_median,bad_median
breadth_down_prev,14,16,0.5940420560747663,0.604044976635514,-0.010002920560747697,0.5917056074766356,0.5987149532710281
breadth_down2_prev,14,16,0.40253671562082777,0.47269275700934577,-0.070156041388518,0.44275700934579443,0.4924065420560748
market_medret_prev,14,16,-0.023427523612991503,-0.03200487898094335,0.008577355367951844,-0.023946900384632958,-0.03268606479956465
breadth_accel,14,16,0.10564085447263019,0.159097546728972,-0.05345669225634181,0.02978971962616822,0.1623831775700935
btc_ret_prev,14,16,-0.016949952889774394,-0.02392296867816296,0.006973015788388565,-0.01831059941545038,-0.025114979820674677
btc_ret_3_prev,14,16,-0.029962128463609683,-0.032710759953679086,0.002748631490069403,-0.025350737778390475,-0.02597430145251839
btc_vol_6_prev,14,16,0.011692725304472382,0.012327289583120234,-0.000634564278647852,0.01240568747126725,0.013776584649886221
