entry_time,signals,event_avg_r,feature_time,breadth_down_prev,breadth_down2_prev,market_medret_prev,breadth_accel,btc_ret_prev,btc_ret_3_prev,btc_vol_6_prev,success
2025-12-11 04:00:00+00:00,68,-0.8185215736586822,2025-12-11 00:00:00+00:00,0.5771028037383178,0.5292056074766355,-0.04050467230366245,0.01985981308411222,-0.02331439754287723,-0.023784581479605937,0.011677097882869233,False
2025-12-12 16:00:00+00:00,79,-0.7587578275006642,2025-12-12 12:00:00+00:00,0.572429906542056,0.49649532710280375,-0.035960214231063437,0.3060747663551402,-0.026915562098472123,-0.025362582032931402,0.015446310133143083,False
2025-12-14 20:00:00+00:00,54,0.8198959800436612,2025-12-14 16:00:00+00:00,0.5163551401869159,0.06191588785046729,-0.007052186177715081,0.04906542056074764,-0.004343418905615737,-0.01780830573881087,0.004031630543285962,True
2025-12-15 16:00:00+00:00,163,-0.026302037153588833,2025-12-15 12:00:00+00:00,0.5619158878504673,0.48364485981308414,-0.03406541453560841,0.19509345794392524,-0.029120817802379295,-0.025137858738075503,0.014178539899357648,False
2025-12-17 20:00:00+00:00,187,0.9352948730477082,2025-12-17 16:00:00+00:00,0.5373831775700935,0.4264018691588785,-0.02503543717174389,0.025700934579439227,-0.013862605715701304,-0.011811231760801011,0.0065941561708170475,True
2025-12-18 20:00:00+00:00,208,-1.0097735236931005,2025-12-18 16:00:00+00:00,0.5829439252336449,0.544392523364486,-0.0639368499492643,0.485981308411215,-0.04558955163154044,-0.026968169379230855,0.021383550258043976,False
2026-01-25 20:00:00+00:00,79,-0.9725880437505539,2026-01-25 16:00:00+00:00,0.5969626168224299,0.5595794392523364,-0.048505544299936865,0.050233644859813076,-0.022018867497681227,-0.024493880760868558,0.008232897702860696,False
2026-01-29 16:00:00+00:00,108,-0.02315701442701704,2026-01-29 12:00:00+00:00,0.5782710280373832,0.4883177570093458,-0.030188679245283012,0.05841121495327106,-0.032999526169995574,-0.03528508054252566,0.013374629400414794,False
2026-01-30 04:00:00+00:00,52,-0.5242597067807268,2026-01-30 00:00:00+00:00,0.5700934579439252,0.3925233644859813,-0.021762785636561532,0.43925233644859807,-0.02321147643097843,-0.026586020872105376,0.015539601397064248,False
2026-01-31 12:00:00+00:00,82,2.928089089167458,2026-01-31 08:00:00+00:00,0.5700934579439252,0.25116822429906543,-0.01513761467889907,0.026869158878504606,-0.006360579732357485,-0.01458472368349173,0.008412073682434065,True
2026-01-31 16:00:00+00:00,190,1.8849873460597864,2026-01-31 12:00:00+00:00,0.5922897196261683,0.5315420560747663,-0.044588808504355426,0.02219626168224309,-0.02066201351598862,-0.03237267450513459,0.011934590014334369,True
2026-01-31 20:00:00+00:00,58,-0.9965622127623374,2026-01-31 16:00:00+00:00,0.6004672897196262,0.5537383177570093,-0.04538842013383759,0.008177570093457875,-0.04381396997118214,-0.06952693188240588,0.016648585496493597,False
2026-02-05 12:00:00+00:00,52,2.949148375559722,2026-02-05 08:00:00+00:00,0.5619158878504673,0.2570093457943925,-0.015527950310559091,0.054906542056074814,-0.006181053536606362,-0.03908260342861514,0.01015804463300868,True
2026-02-05 16:00:00+00:00,161,2.49309490757382,2026-02-05 12:00:00+00:00,0.5911214953271028,0.5408878504672897,-0.039808917197452165,0.029205607476635476,-0.040226810284722414,-0.0526272175553274,0.014715498050821814,True
2026-02-05 20:00:00+00:00,64,0.6400404258705437,2026-02-05 16:00:00+00:00,0.6051401869158879,0.5058411214953271,-0.029279279279279313,0.014018691588785104,-0.032830802394002156,-0.07747457792497048,0.014665749276776018,True
2026-02-06 00:00:00+00:00,72,-0.8746727732884135,2026-02-05 20:00:00+00:00,0.6051401869158879,0.5502336448598131,-0.036705461056401045,0.0,-0.036318124266141893,-0.10544970759401817,0.01489565877153869,False
