symbol,d,trades,actual_mean_r,null_mean_r,null_median_r,null_p05_r,null_p95_r,actual_minus_null_mean_r,one_sided_p,actual_long_trades,actual_short_trades
ES=F,3,114,0.23684210526315788,0.000316269470395695,-0.0032602539481710498,-0.1550187119673129,0.15739325314753425,0.23652583579276218,0.005994005994005994,56,58
NQ=F,4,59,0.22033898305084745,0.02572588152955541,0.018449949897554975,-0.1810615772529842,0.24680265584675457,0.19461310152129205,0.07692307692307693,34,25
