timestamp_ms,datetime_utc,open,high,low,close,base_volume,quote_volume
1635724800000,2021-11-01T00:00:00+00:00,61309,61579,61141.5,61543,553.948,33988937.459
1635725700000,2021-11-01T00:15:00+00:00,61541,61686.5,61478,61517,521.234,32092462.933
1635726600000,2021-11-01T00:30:00+00:00,61517,61607,61380,61387.5,347.135,21345370.208
1635727500000,2021-11-01T00:45:00+00:00,61387.5,61579,61386,61575.5,408.652,25127224.3055
1635728400000,2021-11-01T01:00:00+00:00,61575.5,61742.5,61575.5,61740,705.449,43511698.5735
1635729300000,2021-11-01T01:15:00+00:00,61740,61753,61610,61645,786.369,48499055.873
1635730200000,2021-11-01T01:30:00+00:00,61645,61674.5,61368,61400.5,727.516,44756872.3625
1635731100000,2021-11-01T01:45:00+00:00,61400.5,61462.5,61272,61289.5,689.101,42313425.271
1635732000000,2021-11-01T02:00:00+00:00,61289.5,61422,61204.5,61232.5,412.402,25290553.623
1635732900000,2021-11-01T02:15:00+00:00,61232.5,61290,60000,60201,1815.044,109774734.7685
1635733800000,2021-11-01T02:30:00+00:00,60201,60629.5,59987.5,60329,1093.276,66010933.6785
1635734700000,2021-11-01T02:45:00+00:00,60329,60611,60307.5,60537,444.772,26891944.01
1635735600000,2021-11-01T03:00:00+00:00,60537,60616,60314,60338,638.565,38615938.4735
1635736500000,2021-11-01T03:15:00+00:00,60338,60411,60245,60381,476.845,28763252.5925
1635737400000,2021-11-01T03:30:00+00:00,60381,60425.5,60256,60305,464.086,28005426.4125
1635738300000,2021-11-01T03:45:00+00:00,60305,60306,59624.5,59893.5,1643.351,98698403.665
1635739200000,2021-11-01T04:00:00+00:00,59882.5,60270,59413.5,60220,1847.294,110584053.7515
1635740100000,2021-11-01T04:15:00+00:00,60220,60338,60128.5,60243.5,664.628,40042656.1325
1635741000000,2021-11-01T04:30:00+00:00,60243.5,60690.5,60243.5,60607.5,968.873,58672641.5975
1635741900000,2021-11-01T04:45:00+00:00,60607.5,60647,60444,60505.5,577.635,34977355.156
1635742800000,2021-11-01T05:00:00+00:00,60505.5,60842,60443,60701,735.94,44626434.625
1635743700000,2021-11-01T05:15:00+00:00,60701,60861.5,60626,60655,699.95,42502918.2985
1635744600000,2021-11-01T05:30:00+00:00,60655,60766,60649,60762.5,582.657,35367726.432
1635745500000,2021-11-01T05:45:00+00:00,60762.5,60770,60593,60625,583.081,35359907.132
1635746400000,2021-11-01T06:00:00+00:00,60625,60626,60391,60414.5,1169.147,70754604.206
1635747300000,2021-11-01T06:15:00+00:00,60414.5,60636.5,60293.5,60625,777.365,46973937.541
1635748200000,2021-11-01T06:30:00+00:00,60625,60950,60619,60839,920.457,55962056.226
1635749100000,2021-11-01T06:45:00+00:00,60839,60844.5,60667.5,60726,911.358,55362310.2145
1635750000000,2021-11-01T07:00:00+00:00,60726,62210.5,60726,62122.5,2971.06,182683761.6385
1635750900000,2021-11-01T07:15:00+00:00,62127.5,62374,61940.5,62081.5,2167.067,134665055.7025
1635751800000,2021-11-01T07:30:00+00:00,62081.5,62246.5,61961,62002,1015.223,63037119.362
1635752700000,2021-11-01T07:45:00+00:00,62002,62236.5,61978.5,62218.5,828.91,51508493.8375
1635753600000,2021-11-01T08:00:00+00:00,62218.5,62451,62101,62142.5,1718.205,106999879.2815
1635754500000,2021-11-01T08:15:00+00:00,62142.5,62261,62083.5,62083.5,801.732,49841530.6605
1635755400000,2021-11-01T08:30:00+00:00,62083.5,62215.5,61764,61848,1063.936,65991882.623
1635756300000,2021-11-01T08:45:00+00:00,61848,61949.5,61684,61935,981.364,60687653.771
1635757200000,2021-11-01T09:00:00+00:00,61935,62150.5,61850,62149.5,883.263,54812623.943
1635758100000,2021-11-01T09:15:00+00:00,62149.5,62192.5,61946.5,62080,653.062,40544162.0865
1635759000000,2021-11-01T09:30:00+00:00,62080,62261.5,61992.5,62177,806.782,50143392.9775
1635759900000,2021-11-01T09:45:00+00:00,62177,62194.5,61968.5,62003,651.148,40418643.239
1635760800000,2021-11-01T10:00:00+00:00,62003,62109.5,61999,62021,535.427,33233042.4185
1635761700000,2021-11-01T10:15:00+00:00,62021,62104.5,61931,62080.5,724.041,44900080.3705
1635762600000,2021-11-01T10:30:00+00:00,62080.5,62144,62027.5,62032.5,653.808,40601576.5655
1635763500000,2021-11-01T10:45:00+00:00,62032.5,62319.5,62002.5,62301.5,757.478,47094080.2445
1635764400000,2021-11-01T11:00:00+00:00,62299.5,62492.5,62150.5,62191.5,971.989,60568204.2745
1635765300000,2021-11-01T11:15:00+00:00,62191.5,62239,62070,62145,606.655,37703311.0695
1635766200000,2021-11-01T11:30:00+00:00,62145,62215,61827.5,61943,671.394,41657554.68
1635767100000,2021-11-01T11:45:00+00:00,61943,62096,61833,61847.5,594.625,36831311.889
1635768000000,2021-11-01T12:00:00+00:00,61847.5,62227.5,61841.5,62108,779.122,48343801.5925
1635768900000,2021-11-01T12:15:00+00:00,62108,62112,61778,61874.5,685.706,42473233.0315
1635769800000,2021-11-01T12:30:00+00:00,61874.5,61934.5,61801,61846.5,654.237,40482441.1675
1635770700000,2021-11-01T12:45:00+00:00,61846.5,62029.5,61665,61882.5,713.893,44172781.466
1635771600000,2021-11-01T13:00:00+00:00,61882.5,61941.5,61766.5,61848,396.993,24545977.463
1635772500000,2021-11-01T13:15:00+00:00,61848,61931,61749.5,61927.5,330.739,20447958.8335
1635773400000,2021-11-01T13:30:00+00:00,61927.5,62021,61827.5,61941.5,409.901,25390396.625
1635774300000,2021-11-01T13:45:00+00:00,61941.5,62080,61826.5,61978.5,441.861,27373571.096
1635775200000,2021-11-01T14:00:00+00:00,61978.5,62017.5,61766,61803,718.802,44448028.983
1635776100000,2021-11-01T14:15:00+00:00,61803,61914,61760,61779.5,633.46,39169006.3005
1635777000000,2021-11-01T14:30:00+00:00,61779.5,61807,61696,61723.5,549.826,33946484.171
1635777900000,2021-11-01T14:45:00+00:00,61723.5,61786.5,61332.5,61474,1207.574,74324594.582
1635778800000,2021-11-01T15:00:00+00:00,61474,61568.5,61421,61495.5,599.129,36846405.86
1635779700000,2021-11-01T15:15:00+00:00,61495.5,61631,61453.5,61500.5,501.625,30874133.281
1635780600000,2021-11-01T15:30:00+00:00,61508.5,61631.5,61488,61490,434.224,26730757.247
1635781500000,2021-11-01T15:45:00+00:00,61490,61615,61447,61571,366.806,22562812.4775
1635782400000,2021-11-01T16:00:00+00:00,61571,61576.5,61411.5,61449.5,363.902,22370783.705
1635783300000,2021-11-01T16:15:00+00:00,61449.5,61525.5,61317,61369.5,443.023,27220856.1845
1635784200000,2021-11-01T16:30:00+00:00,61369.5,61451.5,61068,61144,814.234,49830568.5705
1635785100000,2021-11-01T16:45:00+00:00,61144,61188,61050,61067.5,471.71,28830459.93
1635786000000,2021-11-01T17:00:00+00:00,61067.5,61098,60727,60790.5,899.159,54764113.9785
1635786900000,2021-11-01T17:15:00+00:00,60790.5,61039,60777,60841,806.612,49152286.0875
1635787800000,2021-11-01T17:30:00+00:00,60841,60940,60813,60824.5,723.458,44035187.955
1635788700000,2021-11-01T17:45:00+00:00,60824.5,60953.5,60730,60779,660.873,40200643.175
1635789600000,2021-11-01T18:00:00+00:00,60779,60818,60518,60802,822.934,49956418.445
1635790500000,2021-11-01T18:15:00+00:00,60802,60802,60564,60612.5,583.477,35363085.619
1635791400000,2021-11-01T18:30:00+00:00,60612.5,60783.5,60510,60770,616.665,37372565.564
1635792300000,2021-11-01T18:45:00+00:00,60770,60773,60523,60560.5,677.211,41043369.598
1635793200000,2021-11-01T19:00:00+00:00,60560.5,61156.5,60301.5,60942,1073.35,65323808.0955
1635794100000,2021-11-01T19:15:00+00:00,60942,61161.5,60915.5,61069.5,491.456,29992443.041
1635795000000,2021-11-01T19:30:00+00:00,61069.5,61069.5,60856.5,60869.5,384.607,23436696.281
1635795900000,2021-11-01T19:45:00+00:00,60869.5,61462.5,60851,61460,683.401,41751973.1475
1635796800000,2021-11-01T20:00:00+00:00,61460,61460,60965,61164,1019.531,62407935.4095
1635797700000,2021-11-01T20:15:00+00:00,61164,61185,60906,60913,598.274,36493728.1975
1635798600000,2021-11-01T20:30:00+00:00,60913,60914,60572,60705,940.599,57068272.124
1635799500000,2021-11-01T20:45:00+00:00,60705,60757,60552,60683,620.169,37632606.05
