symbol,period,d,engine,cost_mult,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
BTCUSDT,full,3,causal,1.0,17520,275,1.2223834518998071,0.22850526617836242,204.60254950010622,-26.757815790661272,153,1.4832424975104923,0.38091165412862316,122,0.9509216897756968,0.03737266489647805
BTCUSDT,full,4,causal,1.0,17520,133,1.4192335781524816,0.32142819259918626,118.38794795528868,-15.105308066985149,77,1.8509759689759004,0.5299835539868462,56,0.9982394059978525,0.03466457069115398
BTCUSDT,first_half,3,causal,1.0,8760,148,1.569608040150224,0.3752627716343849,181.11601379978782,-15.885455419945696,80,1.9055322247329027,0.5421537411563893,68,1.247805137528007,0.17892045454967387
BTCUSDT,first_half,4,causal,1.0,8760,74,1.7191495056275843,0.42427784812892977,80.53680465124029,-15.105308066985149,46,2.3387813763292193,0.6603891179308482,28,1.03460870477688,0.03638076202577788
BTCUSDT,second_half,3,causal,1.0,8760,126,1.0501773883686614,0.06697532198615858,10.8802287364818,-26.757815790661272,72,1.3003120193414426,0.22286133836477073,54,0.7837848293002203,-0.14087269985199072
BTCUSDT,second_half,4,causal,1.0,8760,58,1.2523487128087702,0.2153831280559701,23.785302152647958,-14.272582520377819,30,1.5757293911395318,0.3856555601754475,28,0.9766823998092787,0.03294837935653011
ETHUSDT,full,3,causal,1.0,17520,312,1.099112155805493,0.09205483340906033,54.20646628701895,-27.221368032834402,187,1.1648741079458012,0.14946455241524828,125,1.006980902151648,0.006169893775803194
ETHUSDT,full,4,causal,1.0,17520,150,0.8652896999538628,-0.10107532970065286,-30.721666040850238,-48.59600294957484,88,0.9014750753277891,-0.10784191997253374,62,0.8132806312398049,-0.09147113705669292
ETHUSDT,first_half,3,causal,1.0,8760,155,1.0689964967693797,0.07581899866744109,18.000783750228557,-27.221368032834402,97,1.4503361852197467,0.3147631185945397,58,0.5986868428787105,-0.32379444327960316
ETHUSDT,first_half,4,causal,1.0,8760,74,1.091715808417812,0.09190198750588738,10.81617397447976,-19.19892492026251,49,1.2860804816183449,0.2107416965613645,25,0.7739001374221914,-0.14102384224284772
ETHUSDT,second_half,3,causal,1.0,8760,157,1.1265816577856527,0.10808384223040418,30.68257801865679,-19.954745911534484,90,0.9299323355997808,-0.028690568911321417,67,1.4367940847372667,0.2918106631670505
ETHUSDT,second_half,4,causal,1.0,8760,76,0.62281493503713,-0.2889742964543894,-37.48355364163349,-38.54573296573886,39,0.4424131171122886,-0.5081136433099956,37,0.849383117732398,-0.057989579498480215
SOLUSDT,full,3,causal,1.0,17520,317,1.0569956508874572,0.07040862860974274,36.45937510485802,-44.57712658317656,187,1.148371172060792,0.1497098594429326,130,0.9371749728492147,-0.04366314189646106
SOLUSDT,full,4,causal,1.0,17520,140,1.0579134495855242,0.0634578507411067,12.939947171264699,-28.652888797936182,84,1.263472426911219,0.18529343223710024,56,0.8037188204203365,-0.11929552150288367
SOLUSDT,first_half,3,causal,1.0,8760,176,1.155945129664184,0.1429724344252595,52.77128461278298,-39.24882161484342,98,1.244784908850151,0.22271163385566448,78,1.056122516960907,0.0427872864229557
SOLUSDT,first_half,4,causal,1.0,8760,71,1.1447002333280432,0.11751601620604234,14.488396364678913,-28.652888797936182,41,1.3995246599516165,0.2593077437042172,30,0.8666654200277261,-0.07626601137479681
SOLUSDT,second_half,3,causal,1.0,8760,141,0.9419134570291137,-0.02016746942948383,-10.677340017968318,-37.10408166171638,89,1.051396442087648,0.06932588312329517,52,0.769359879894684,-0.1733387843755862
SOLUSDT,second_half,4,causal,1.0,8760,69,0.9809584149778795,0.007832781929361288,-1.352494438372498,-28.260732514631165,43,1.155033127384131,0.11472164688473283,26,0.7400928914841781,-0.1689449562660608
