d,engine,cost_mult,symbols,total_trades,median_pf,median_expectancy_r,pct_symbols_pf_gt_1,median_max_dd_pct
3,causal,1.0,6,1747,1.078053903346475,0.08123173100940154,100.0,-33.427850201994275
4,causal,1.0,6,794,1.0114061174323314,0.027865114122568747,50.0,-26.767629325442066
