quarter,return_pct,exposure_pct,flat_pct
2019Q4,-6.369593595692457,26.766304347826086,73.2336956521739
2020Q1,26.71343226821712,59.70695970695971,40.29304029304029
2020Q2,11.927249050151234,84.15750915750915,15.842490842490847
2020Q3,17.344347954568228,69.97282608695652,30.027173913043484
2020Q4,156.48119664672572,95.65217391304348,4.347826086956516
2021Q1,24.3674642358499,54.30555555555555,45.69444444444445
2021Q2,-17.789750276109075,28.296703296703296,71.7032967032967
2021Q3,33.11278979532675,56.15942028985508,43.84057971014492
2021Q4,31.35702485350853,54.61956521739131,45.38043478260869
2022Q1,5.813708307054166,38.19444444444444,61.80555555555556
2022Q2,-17.10110673944595,8.699633699633699,91.3003663003663
2022Q3,-9.282142637570601,31.15942028985507,68.84057971014494
2022Q4,-5.171736895045875,28.125,71.875
2023Q1,55.340358516423315,67.5,32.5
2023Q2,4.32667558680242,49.81684981684982,50.18315018315018
2023Q3,-7.47914492967282,46.150362318840585,53.849637681159415
2023Q4,53.18390842085328,95.5163043478261,4.483695652173907
2024Q1,48.929214173562265,69.91758241758241,30.08241758241759
2024Q2,-9.356026286060558,46.74908424908425,53.25091575091575
2024Q3,-0.43814783855247175,48.505434782608695,51.494565217391305
2024Q4,43.19644041866304,81.74818840579711,18.25181159420289
2025Q1,-19.92315410753559,29.583333333333332,70.41666666666667
2025Q2,16.427806198434002,84.2032967032967,15.7967032967033
2025Q3,3.2826109950895965,37.18297101449276,62.81702898550724
2025Q4,-15.249387291409523,20.42572463768116,79.57427536231884
2026Q1,-4.579645006932176,40.0462962962963,59.9537037037037
2026Q2,11.119399913898075,46.291208791208796,53.708791208791204
2026Q3,0.0,0.0,100.0
