train_start,test_start,test_end,ema,exit_threshold,train_profit,train_dd,oos_profit,oos_dd,trades
2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,800,3.0,696.604488134949,-29.69929179707107,-9.956459787286033,-21.831680845340074,5
2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,800,3.0,434.53677761740863,-31.24395463527967,-31.57794819394245,-38.09459662009853,10
2021-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,1000,1.0,53.8353821136049,-38.21821612034624,59.63438214476322,-20.367758206486975,9
2021-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,800,1.0,99.82501160743202,-40.70560822031333,33.897556106570256,-15.531646793772447,9
2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,800,2.0,58.26556123866726,-38.21246910731736,40.25614931933275,-18.252627357192875,6
2022-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,400,1.0,155.60868434362837,-25.692210085067003,39.10971184436367,-19.760470814156427,19
2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,700,3.0,297.51704229005963,-26.07951165917023,-11.50101424977369,-31.55512849609565,11
2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,700,2.0,141.50037417088876,-31.65135232610704,-12.219950336549212,-24.20650085568954,10
2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,1000,2.0,68.06350004515902,-31.820785290954156,-6.99052453939053,-17.674069862686636,7
