entry_time,exit_time,entry,exit,net_trade_return
2022-07-15 19:00:00+00:00,2022-07-16 00:00:00+00:00,21160.5,20685.5,-0.02444748470026703
2022-07-16 16:00:00+00:00,2022-07-25 23:00:00+00:00,21459.5,21294.5,-0.009688902350940108
2022-07-27 18:00:00+00:00,2022-08-19 00:00:00+00:00,22556.5,22919.5,0.014092922217542549
2022-09-09 06:00:00+00:00,2022-09-13 18:00:00+00:00,20689.0,20255.0,-0.02297733094881338
2022-09-27 02:00:00+00:00,2022-09-27 16:00:00+00:00,20083.0,19111.5,-0.050374246875466766
2022-09-30 14:00:00+00:00,2022-10-01 05:00:00+00:00,19991.5,19311.0,-0.03603946677337866
2022-10-04 06:00:00+00:00,2022-10-08 21:00:00+00:00,19840.0,19305.0,-0.028965725806451625
2022-10-14 01:00:00+00:00,2022-10-14 21:00:00+00:00,19864.5,19097.0,-0.04063676407661909
2022-10-17 12:00:00+00:00,2022-10-20 00:00:00+00:00,19517.5,18962.0,-0.030461636992442642
2022-10-23 17:00:00+00:00,2022-11-08 04:00:00+00:00,19476.5,19628.5,0.005804276949143762
2022-11-08 16:00:00+00:00,2022-11-08 17:00:00+00:00,20358.5,19326.5,-0.05269135741827735
2022-12-05 00:00:00+00:00,2022-12-07 07:00:00+00:00,17209.5,16759.5,-0.028148348295999326
2022-12-08 18:00:00+00:00,2022-12-16 16:00:00+00:00,17242.0,16799.5,-0.027664076093260603
2023-01-04 03:00:00+00:00,2023-02-09 22:00:00+00:00,16852.0,21766.0,0.28959743650605274
2023-02-14 14:00:00+00:00,2023-03-03 01:00:00+00:00,22231.0,22144.5,-0.005890963069587472
2023-03-13 00:00:00+00:00,2023-04-20 19:00:00+00:00,22447.0,28098.5,0.2497708379738941
2023-04-26 01:00:00+00:00,2023-05-01 19:00:00+00:00,28362.5,27825.5,-0.020933450859409453
2023-05-02 18:00:00+00:00,2023-05-08 07:00:00+00:00,28696.0,27956.5,-0.02777014218009477
2023-05-28 15:00:00+00:00,2023-06-01 02:00:00+00:00,27268.5,26705.5,-0.022646533546032965
