ret,cagr,mdd,sharpe,pf,trades,ema,funding_pct
286.2134344349386,21.35676949401255,-47.553031494653986,0.7693544549204478,1.9637861274852686,95,500,40
1179.8513579195474,44.079589424965306,-39.37201723941729,1.164674204862558,2.5014627972515013,111,500,50
1243.6554438142525,45.08721304328771,-42.58114296972985,1.165174314822153,2.4427001738693637,115,500,55
1028.59903673264,41.50704951121884,-48.371211585924314,1.0950397822241686,2.287306227220961,120,500,60
878.8564542926226,38.65073033361133,-52.87335602449335,1.0276289884250125,2.103012985800534,133,500,70
646.1818296572318,33.36334027508623,-52.87335602449335,0.9249911081552964,1.9325049184992913,142,500,80
814.9705526904502,37.31664496034392,-49.873516116177164,0.9714062320589104,1.9589777657361218,151,500,90
866.5413018837753,38.39948657699712,-49.87351611617714,0.9883581304461915,1.9659909904649104,153,500,100
409.67971136853805,26.276208191082983,-41.37373031874385,0.9146193223589633,2.3996575243601677,76,600,40
1772.090553727044,52.146847415734385,-35.80939689155045,1.3178307302889467,3.192304008099075,89,600,50
1917.3488527411098,53.78432471118275,-35.80939689155045,1.3165002593384467,3.1015270193315225,95,600,55
1756.529937422563,51.96503890983539,-37.61283687655769,1.2765977684535106,2.9651976312992505,99,600,60
1753.5891246903077,51.930532187896226,-41.24871519616362,1.255148033633837,2.7354480624832243,112,600,70
1272.3726246500185,45.52740345269692,-46.516613561381384,1.1413855970434903,2.4240010973463706,121,600,80
1567.5379042268062,49.64575375375306,-51.05654290601893,1.1811130046321445,2.457869988591253,127,600,90
1574.6241986845757,49.73668609358892,-51.05654290601893,1.1816027934009263,2.4617232632752306,127,600,100
864.6320656013352,38.36029062225248,-40.306033852393966,1.121898594023262,3.172538740544694,79,700,40
1398.5748506354132,47.372995346071754,-38.897012602668305,1.253910008242729,3.3587801271536586,86,700,50
2462.6945222872473,59.14690157556326,-38.89701260266829,1.3715291557420912,3.575427561544608,92,700,55
2052.7955733756635,55.222576599363805,-42.99114256000536,1.3045805311776666,3.2710304562074963,98,700,60
1967.049206613941,54.321420731666436,-46.395221139076256,1.265207741846652,2.975823275391879,112,700,70
1764.1599257213488,52.05434930256389,-50.45386104645038,1.2227973828389997,2.8411391080580928,117,700,80
1487.1669966513603,48.59055570734103,-53.64720063016324,1.163584437941599,2.660992544935421,123,700,90
1398.3982376494077,47.370507154860086,-53.64720063016324,1.1431462254698803,2.604222533996966,125,700,100
