train_start,test_start,test_end,ema,funding_pct,train_sharpe,oos_ret,oos_cagr,oos_mdd,oos_sharpe,oos_pf,oos_trades
2019-10-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,700,55,2.027331099748392,-4.101288899757883,-8.062588904588575,-20.95745677438414,-0.1979931800024546,0.8136656805788197,7
2020-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,700,55,2.1080689990288293,-15.87804411303665,-29.190367563822484,-16.937951134724326,-1.6200689302807205,0.05090011944952948,5
2020-10-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,700,55,1.3717940535917255,50.164490246085826,126.16652303383722,-16.881560706735353,2.5941041008128067,7.854997782276067,4
2021-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,500,50,1.1394421516798319,-1.8481057594982309,-3.6555080997836664,-13.723984074656691,-0.031006682982449265,0.91535131554932,7
2021-10-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,500,50,0.5301270467815408,50.728561791907524,126.85157483090026,-13.84729187889654,2.9418013624513444,999.0,1
2022-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,500,50,1.7556362925926337,-8.902658128448115,-16.984542899231126,-22.314499840368363,-0.537024148788976,0.7057885002857426,12
2022-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,600,50,1.8122644880192205,-19.92315410753559,-35.98130063072783,-28.147131162680004,-1.8873494203544132,0.047743720166634036,8
2023-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,700,50,1.4991090448666433,3.56566790501347,7.2447835496392665,-10.811996789682643,0.5039810087082973,1.958822359849149,4
2023-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,700,50,1.2027803968587036,-13.71728633606616,-25.633376939515962,-17.63783990348976,-1.5877877841525558,0.01076013040101204,6
2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,2026-09-23 17:00:00+00:00,700,50,0.42028574930657453,0.0,0.0,0.0,,999.0,0
