candidate,symbol,d,entry_time,exit_time,side,r_multiple,pnl
ETH_D3,ETHUSDT,3,2019-08-18 04:00:00+00:00,2019-08-18 06:00:00+00:00,long,1.9430491374650578,38.86098274930116
ETH_D3,ETHUSDT,3,2019-08-27 00:00:00+00:00,2019-08-27 02:00:00+00:00,long,-1.1183260624130542,-23.235706244651634
ETH_D3,ETHUSDT,3,2019-08-28 14:00:00+00:00,2019-08-28 17:00:00+00:00,long,-1.2645340076910796,-25.685854024215708
ETH_D3,ETHUSDT,3,2019-09-01 14:00:00+00:00,2019-09-01 21:00:00+00:00,short,-1.1495475586333737,-22.759648926146294
ETH_D3,ETHUSDT,3,2019-09-01 21:00:00+00:00,2019-09-02 14:00:00+00:00,long,1.9682514999661402,38.07306080070277
ETH_D3,ETHUSDT,3,2019-09-10 11:00:00+00:00,2019-09-10 14:00:00+00:00,short,1.9651789919757658,39.51003503397043
ETH_D3,ETHUSDT,3,2019-09-10 21:00:00+00:00,2019-09-11 00:00:00+00:00,short,-1.1176040211092402,-23.352623678694606
ETH_D3,ETHUSDT,3,2019-09-11 17:00:00+00:00,2019-09-12 21:00:00+00:00,short,-1.0664601309348256,-21.78586608756686
ETH_D3,ETHUSDT,3,2019-09-14 03:00:00+00:00,2019-09-14 13:00:00+00:00,short,-1.176395374778452,-23.519069934078455
ETH_D3,ETHUSDT,3,2019-09-15 10:00:00+00:00,2019-09-16 00:00:00+00:00,short,-1.0907603223238587,-21.293938844359797
ETH_D3,ETHUSDT,3,2019-09-18 21:00:00+00:00,2019-09-19 00:00:00+00:00,short,1.9714974879870595,37.64816438241883
ETH_D3,ETHUSDT,3,2019-09-21 05:00:00+00:00,2019-09-22 00:00:00+00:00,short,1.9768716132188144,39.23930164915923
ETH_D3,ETHUSDT,3,2019-09-23 03:00:00+00:00,2019-09-23 09:00:00+00:00,long,1.954656622325043,40.332339274888064
ETH_D3,ETHUSDT,3,2019-09-28 07:00:00+00:00,2019-09-28 09:00:00+00:00,short,-1.1301102944456127,-24.23026936269149
ETH_D3,ETHUSDT,3,2019-10-02 12:00:00+00:00,2019-10-02 15:00:00+00:00,long,-1.1721974940053064,-24.56459194306846
ETH_D3,ETHUSDT,3,2019-10-06 04:00:00+00:00,2019-10-06 08:00:00+00:00,short,1.9532675852848196,39.973086517459336
ETH_D3,ETHUSDT,3,2019-10-10 22:00:00+00:00,2019-10-11 00:00:00+00:00,long,-1.095942245268903,-23.30432197040288
ETH_D3,ETHUSDT,3,2019-10-12 23:00:00+00:00,2019-10-14 17:00:00+00:00,long,1.9812173449877082,41.20555960864594
ETH_D3,ETHUSDT,3,2019-10-17 20:00:00+00:00,2019-10-18 08:00:00+00:00,short,1.9761849351316574,42.72949116007366
ETH_D3,ETHUSDT,3,2019-10-21 06:00:00+00:00,2019-10-21 10:00:00+00:00,short,-1.178630180684439,-26.491837913435603
ETH_D3,ETHUSDT,3,2019-10-21 22:00:00+00:00,2019-10-22 10:00:00+00:00,long,-1.2095244792603859,-26.545392434953968
ETH_D3,ETHUSDT,3,2019-10-22 10:00:00+00:00,2019-10-22 15:00:00+00:00,short,1.9597963942167658,41.97111323938215
ETH_D3,ETHUSDT,3,2019-10-28 00:00:00+00:00,2019-10-28 01:00:00+00:00,short,-1.077616035469179,-23.982862406358805
ETH_D3,ETHUSDT,3,2019-10-28 23:00:00+00:00,2019-10-29 01:00:00+00:00,long,1.961842626519326,42.72073781426251
ETH_D3,ETHUSDT,3,2019-10-30 20:00:00+00:00,2019-10-31 09:00:00+00:00,long,-1.0673369567365802,-24.15408911079545
ETH_D3,ETHUSDT,3,2019-11-08 23:00:00+00:00,2019-11-09 15:00:00+00:00,long,-1.1990112927759067,-26.55469013125481
ETH_D3,ETHUSDT,3,2019-11-09 19:00:00+00:00,2019-11-10 05:00:00+00:00,long,1.9624355608736883,42.42012911662892
ETH_D3,ETHUSDT,3,2019-11-12 08:00:00+00:00,2019-11-12 13:00:00+00:00,long,-1.1779658270220474,-26.462371817495
ETH_D3,ETHUSDT,3,2019-11-13 03:00:00+00:00,2019-11-13 10:00:00+00:00,long,1.950126169906567,42.77644135847329
ETH_D3,ETHUSDT,3,2019-11-17 20:00:00+00:00,2019-11-17 23:00:00+00:00,long,-1.258245323045456,-28.676349761395517
ETH_D3,ETHUSDT,3,2019-11-18 13:00:00+00:00,2019-11-18 15:00:00+00:00,short,1.9500605157839783,43.32492185887365
