candidate,symbol,d,source,span_days,trades,base_pf,base_expectancy_r,pf_cost_1_5x,exp_cost_1_5x,pf_cost_2x,exp_cost_2x,max_loss_streak,worst_20trade_avg_r,worst_20trade_pf,M_periods_n,M_positive_exp_pct,M_pf_gt1_pct,M_median_exp,M_worst_exp,Q_periods_n,Q_positive_exp_pct,Q_pf_gt1_pct,Q_median_exp,Q_worst_exp,Y_periods_n,Y_positive_exp_pct,Y_pf_gt1_pct,Y_median_exp,Y_worst_exp,status,reason
ETH_D3,ETHUSDT,3,full_history,2600,987,1.131398851064899,0.12354289416501266,1.0664970674352745,0.07893194733717299,1.0114372936980442,0.03432139038472134,10,-0.6448273071931842,0.31575326655290126,86,60.46511627906976,60.46511627906976,0.10869887950321382,-0.8049242155467548,29,79.3103448275862,79.3103448275862,0.11971863098963993,-0.3766690748294115,8,87.5,87.5,0.11848726947105559,-0.01826777426953266,KEEP,survives_2x_cost_and_time
BTC_D3,BTCUSDT,3,full_history,2631,931,1.0553612870403652,0.0529128689691452,0.951039233116128,-0.003901303578980769,0.8635780079768248,-0.060715464950125746,12,-0.7025143688311534,0.29394638076375335,87,55.172413793103445,55.172413793103445,0.05319469431182968,-1.1344873174640042,29,55.172413793103445,55.172413793103445,0.06446907640165789,-0.46900674192938135,8,37.5,37.5,-0.0035214855384389007,-0.370582185928046,DROP,fails_1.5x_cost
BTC_D4,BTCUSDT,4,full_history,2631,425,1.1244434209826433,0.08760282860561497,1.0119044610222516,0.03134563001536348,0.9167363720647015,-0.02491150539601619,11,-0.7920809042879137,0.2004869188555899,74,50.0,50.0,-0.009139529659818058,-1.233206952151808,29,55.172413793103445,55.172413793103445,0.13930894244549757,-0.8734680580417974,7,71.42857142857143,71.42857142857143,0.12560782380837868,-0.2253570439780896,CONDITIONAL,high_loss_streak_for_edge
XRP_D3,XRPUSDT,3,liquid_730d,729,292,1.135151209777058,0.11103658246422647,1.0689037870226241,0.07066617813017112,1.0093070305624483,0.030296917391286808,14,-0.8164136343974601,0.1937082185432188,25,64.0,64.0,0.3068442396065485,-0.9078301496355207,8,62.5,62.5,0.12616048083384662,-0.24162802345452933,3,100.0,100.0,0.08151648917088765,0.03899217403051362,KEEP,survives_2x_cost_and_time
NDX_D4,NDX100USDT,4,ndx_common,123,9,1.1593956774093102,0.16254413833241502,1.0270153093931824,0.07714332602145059,0.9145090197137049,-0.00826162949648294,3,,,2,0.0,0.0,-0.2957317789389898,-0.4392678987101064,1,100.0,100.0,0.6439937679664322,0.6439937679664322,0,,,,,WATCH_ONLY,sample_lt_50
