e,t,a,d,fav,tb,advn,fav_n,decn,rel,ret,net,dur,mk
2059,1561958004,FX,S,556.6927,228622.78,1,1,2,1.0,306.6675,9.378102,228622.78,0.0
2060,1561958004,FE,L,,0.0,0,0,0,,-292.6839,-19.616633,36435.05,0.0
2060,1561958270,A,L,-18.9704,265.77,0,0,0,2604.92041,-292.6839,-19.616633,36435.05,0.0
2060,1561976395,R,L,25.3877,18390.68,1,0,0,0.10047,-292.6839,-19.616633,36435.05,1.0
2060,1561976964,A,L,16.2613,18959.59,1,0,1,891.55716,-292.6839,-19.616633,36435.05,1.0
2060,1561988824,R,L,-341.3287,30819.98,1,1,1,0.15152,-292.6839,-19.616633,36435.05,0.111
2060,1561988856,R,L,-369.0145,30851.93,1,1,2,0.00646,-292.6839,-19.616633,36435.05,1.0
2060,1561989563,A,L,-387.2377,31558.77,1,1,3,2604.92041,-292.6839,-19.616633,36435.05,1.0
2060,1561991768,A,L,-40.9703,33763.79,2,1,3,0.06176,-292.6839,-19.616633,36435.05,0.9382
2060,1561993347,R,L,-383.5539,35342.27,3,1,3,0.99981,-292.6839,-19.616633,36435.05,0.0
2060,1561994440,FX,L,-293.4001,36435.05,3,1,4,1.0,-292.6839,-19.616633,36435.05,0.0
2061,1561994440,FE,S,,0.0,0,0,0,,28.1958,0.921378,3247.31,0.0
2061,1561994455,A,S,-0.309,15.89,0,0,0,657.16505,28.1958,0.921378,3247.31,0.0
2061,1561994528,A,S,20.8538,88.48,0,0,0,1.37649,28.1958,0.921378,3247.31,1.0
2061,1561994691,A,S,3.0595,251.75,0,1,0,0.28442,28.1958,0.921378,3247.31,0.0058
2061,1561995034,R,S,109.3894,594.65,0,2,0,0.96922,28.1958,0.921378,3247.31,0.0
2061,1561995652,R,S,79.7821,1212.4,0,2,1,0.98671,28.1958,0.921378,3247.31,0.0
2061,1561996171,A,S,-78.042,1731.72,0,2,2,322.90521,28.1958,0.921378,3247.31,0.8864
2061,1561997543,R,S,-38.6572,3103.23,1,2,2,0.00146,28.1958,0.921378,3247.31,1.0
2061,1561997687,FX,S,-29.4162,3247.31,1,2,3,1.0,28.1958,0.921378,3247.31,0.0
2062,1561997687,FE,L,,0.0,0,0,0,,57.2284,0.000204,364.83,0.0
2062,1561998052,FX,L,72.7414,364.83,0,0,0,1.0,57.2284,0.000204,364.83,0.0
2063,1561998052,FE,S,,0.0,0,0,0,,19.1685,0.178586,549.81,0.0
2063,1561998100,A,S,-15.0415,48.62,0,0,0,996.30332,19.1685,0.178586,549.81,0.3487
2063,1561998155,R,S,29.5367,103.48,1,0,0,0.88388,19.1685,0.178586,549.81,0.1155
2063,1561998601,FX,S,15.5953,549.81,1,0,1,1.0,19.1685,0.178586,549.81,0.0
2064,1561998601,FE,L,,0.0,0,0,0,,-31.627,-0.000112,120.78,0.0
2064,1561998722,FX,L,-16.852,120.78,0,0,0,1.0,-31.627,-0.000112,120.78,0.0
2065,1561998722,FE,S,,0.0,0,0,0,,62.6955,0.000383,899.46,0.0
2065,1561999622,FX,S,76.6856,899.46,0,0,0,1.0,62.6955,0.000383,899.46,0.0
2066,1561999622,FE,L,,0.0,0,0,0,,-36.1248,-0.63205,4321.78,0.0
2066,1561999946,A,L,2.4301,324.41,0,0,0,4904.63215,-36.1248,-0.63205,4321.78,1.0
2066,1562003871,R,L,-31.2049,4249.43,0,1,0,0.9998,-36.1248,-0.63205,4321.78,0.0
2066,1562003944,FX,L,-45.7002,4321.78,0,1,1,1.0,-36.1248,-0.63205,4321.78,0.0
2067,1562003944,FE,S,,0.0,0,0,0,,131.1816,2.30932,7110.87,0.0
2067,1562004732,A,S,22.429,788.06,0,0,0,412.93207,131.1816,2.30932,7110.87,1.0
2067,1562004751,A,S,-9.7305,807.64,0,1,0,0.17024,131.1816,2.30932,7110.87,1.0
2067,1562009287,R,S,133.5223,5343.03,1,1,0,0.54705,131.1816,2.30932,7110.87,0.4528
2067,1562011054,FX,S,67.0194,7110.87,1,1,1,1.0,131.1816,2.30932,7110.87,1.0
2068,1562011054,FE,L,0.0,0.0,0,0,0,0.05963,138.5833,0.237363,273.06,1.0
2068,1562011191,A,L,19.685,137.05,0,0,0,0.1441,138.5833,0.237363,273.06,1.0
2068,1562011319,R,L,135.2867,264.64,0,1,0,0.99823,138.5833,0.237363,273.06,1.0
2068,1562011327,FX,L,144.0827,273.06,0,1,1,1.0,138.5833,0.237363,273.06,0.0
2069,1562011327,FE,S,,0.0,0,0,0,,3.9606,0.006664,49.42,0.0
2069,1562011344,R,S,8.6711,17.0,0,0,0,0.99743,3.9606,0.006664,49.42,1.0
2069,1562011377,FX,S,24.1916,49.42,0,0,1,1.0,3.9606,0.006664,49.42,0.0
2070,1562011377,FE,L,,0.0,0,0,0,,194.9372,0.00105,3050.27,0.0
2070,1562014427,FX,L,215.7365,3050.27,0,0,0,1.0,194.9372,0.00105,3050.27,0.4775
2071,1562014427,FE,S,5.581,0.0,0,0,0,0.00115,21.9735,0.376672,27194.95,0.4775
2071,1562014433,A,S,5.8869,6.35,0,0,0,0.00103,21.9735,0.376672,27194.95,0.0
2071,1562015483,R,S,21.9553,1055.75,0,1,0,0.7366,21.9735,0.376672,27194.95,1.0
2071,1562041622,FX,S,598.454,27194.95,0,1,1,1.0,21.9735,0.376672,27194.95,0.0
2072,1562041622,FE,L,,0.0,0,0,0,,45.0296,0.820561,339.03,0.0
2072,1562041628,A,L,6.4136,6.03,0,0,0,3249.09747,45.0296,0.820561,339.03,0.0
2072,1562041891,R,L,49.7619,268.45,0,1,0,0.00338,45.0296,0.820561,339.03,1.0
2072,1562041961,FX,L,47.2317,339.03,0,1,1,1.0,45.0296,0.820561,339.03,0.0
2073,1562041961,FE,S,,0.0,0,0,0,,87.5732,1.415426,231.41,0.0
2073,1562041968,A,S,-2.5183,7.11,0,0,0,124.65247,87.5732,1.415426,231.41,1.0
2073,1562042067,A,S,30.2013,105.78,1,0,0,1.34143,87.5732,1.415426,231.41,1.0
2073,1562042177,R,S,88.3057,215.68,1,1,0,0.16579,87.5732,1.415426,231.41,0.8342
2073,1562042193,FX,S,80.8425,231.41,1,1,1,1.0,87.5732,1.415426,231.41,0.0
2074,1562042193,FE,L,,0.0,0,0,0,,43.3394,0.707224,268.88,0.0
2074,1562042256,A,L,-15.9852,63.66,0,0,0,1288.19495,43.3394,0.707224,268.88,0.554
2074,1562042389,R,L,42.46,196.68,1,0,0,0.02182,43.3394,0.707224,268.88,1.0
2074,1562042461,FX,L,106.6909,268.88,1,0,1,1.0,43.3394,0.707224,268.88,0.0
2075,1562042461,FE,S,,0.0,0,0,0,,55.9005,1.810801,822.02,0.0
2075,1562042596,A,S,13.1141,134.76,0,0,0,3587.44395,55.9005,1.810801,822.02,1.0
2075,1562042886,R,S,50.5087,424.94,0,1,0,0.0059,55.9005,1.810801,822.02,1.0
2075,1562042979,A,S,40.4077,517.13,0,1,1,80.48206,55.9005,1.810801,822.02,1.0
2075,1562043272,R,S,50.7211,810.15,0,2,1,0.08193,55.9005,1.810801,822.02,1.0
2075,1562043283,FX,S,59.8489,822.02,0,2,2,1.0,55.9005,1.810801,822.02,0.0
2076,1562043283,FE,L,,0.0,0,0,0,,60.5251,0.000342,102.12,0.0
2076,1562043386,FX,L,76.5228,102.12,0,0,0,1.0,60.5251,0.000342,102.12,0.0
2077,1562043386,FE,S,,0.0,0,0,0,,86.4489,1.393324,3208.34,0.0
2077,1562043783,A,S,-54.678,397.68,0,0,0,2.63901,86.4489,1.393324,3208.34,1.0
2077,1562044912,R,S,80.5488,1526.29,1,0,0,0.00116,86.4489,1.393324,3208.34,1.0
2077,1562046594,FX,S,164.1341,3208.34,1,0,1,1.0,86.4489,1.393324,3208.34,0.0
2078,1562046594,FE,L,,0.0,0,0,0,,92.2682,1.511931,4733.34,0.0
2078,1562046813,A,L,-1.0343,218.99,0,0,0,1683.41155,92.2682,1.511931,4733.34,0.4171
2078,1562048386,R,L,97.2728,1792.55,1,0,0,0.01817,92.2682,1.511931,4733.34,0.9818
2078,1562051327,FX,L,65.4557,4733.34,1,0,1,1.0,92.2682,1.511931,4733.34,0.9582
2079,1562051327,FE,S,1.6241,0.0,0,0,0,16.44648,-57.7111,-3.614663,65178.16,0.9582
2079,1562051667,A,S,-23.839,340.12,0,0,0,0.00063,-57.7111,-3.614663,65178.16,0.0
2079,1562053458,R,S,-56.3772,2130.48,1,0,0,0.11088,-57.7111,-3.614663,65178.16,1.0
2079,1562113072,A,S,-1243.0262,61744.57,1,0,1,836.5852,-57.7111,-3.614663,65178.16,0.0
2079,1562113118,A,S,0.3128,61790.8,2,0,1,0.13108,-57.7111,-3.614663,65178.16,1.0
2079,1562115369,A,S,-192.2858,64042.01,2,0,1,0.52282,-57.7111,-3.614663,65178.16,0.477
2079,1562115852,A,S,-171.3826,64524.8,3,0,1,0.10266,-57.7111,-3.614663,65178.16,0.7947
2079,1562116078,R,S,-83.6548,64751.16,4,0,1,0.29548,-57.7111,-3.614663,65178.16,1.0
2079,1562116100,R,S,-56.9077,64772.73,4,0,2,0.00044,-57.7111,-3.614663,65178.16,0.9849
2079,1562116153,A,S,-80.8071,64825.27,4,0,3,0.03025,-57.7111,-3.614663,65178.16,0.0
2079,1562116273,R,S,-46.8477,64945.59,5,0,3,0.49158,-57.7111,-3.614663,65178.16,0.0167
2079,1562116280,R,S,-36.7131,64953.03,5,0,4,0.96204,-57.7111,-3.614663,65178.16,0.0377
2079,1562116505,FX,S,-2.4889,65178.16,5,0,5,1.0,-57.7111,-3.614663,65178.16,0.9853
2080,1562116505,FE,L,7.4815,0.0,0,0,0,0.00409,31.9342,0.4833,1178.63,0.9853
2080,1562116592,R,L,26.8221,86.72,0,0,0,0.00017,31.9342,0.4833,1178.63,1.0
2080,1562117684,FX,L,154.161,1178.63,0,0,1,1.0,31.9342,0.4833,1178.63,0.0
2081,1562117684,FE,S,,0.0,0,0,0,,135.6109,45.511669,1176256.34,0.0
2081,1562117686,A,S,-6.1387,2.26,0,0,0,3.91928,135.6109,45.511669,1176256.34,1.0
2081,1562117690,A,S,1.6821,5.71,1,0,0,0.02583,135.6109,45.511669,1176256.34,0.0
2081,1562118998,R,S,97.2288,1313.78,1,1,0,0.99974,135.6109,45.511669,1176256.34,0.0
2081,1562160763,A,S,-18.2717,43079.47,1,1,1,3811.65919,135.6109,45.511669,1176256.34,0.0
2081,1562168555,R,S,-7.681,50871.04,2,1,1,0.81697,135.6109,45.511669,1176256.34,0.1828
2081,1562228499,A,S,-265.0314,110814.64,2,1,2,3811.65919,135.6109,45.511669,1176256.34,0.0
2081,1562313751,R,S,680.2717,196067.04,3,1,2,0.01944,135.6109,45.511669,1176256.34,1.0
2081,1562318666,A,S,478.0631,200981.49,3,1,3,2190.64126,135.6109,45.511669,1176256.34,0.2237
2081,1562318766,R,S,28.9433,201082.16,3,2,3,0.11683,135.6109,45.511669,1176256.34,1.0
2081,1562320866,A,S,-84.1776,203182.44,3,2,4,2209.09865,135.6109,45.511669,1176256.34,0.4204
2081,1562517470,R,S,64.0768,399786.32,4,2,4,0.00281,135.6109,45.511669,1176256.34,1.0
2081,1562614623,A,S,-859.3678,496939.43,4,2,5,3811.65919,135.6109,45.511669,1176256.34,0.0
2081,1562614643,R,S,53.9303,496958.58,5,2,5,0.412,135.6109,45.511669,1176256.34,0.5879
2081,1562616612,A,S,-19.6542,498928.04,5,2,6,3811.65919,135.6109,45.511669,1176256.34,0.0
2081,1562617430,A,S,12.5624,499745.68,6,2,6,0.01951,135.6109,45.511669,1176256.34,1.0
2081,1562618636,A,S,33.5377,500952.26,6,3,6,0.10409,135.6109,45.511669,1176256.34,1.0
2081,1562658652,R,S,-184.0039,540968.39,6,4,6,0.00307,135.6109,45.511669,1176256.34,1.0
2081,1562658778,A,S,-226.9862,541094.1,6,4,7,2053.42601,135.6109,45.511669,1176256.34,0.0251
2081,1562659016,R,S,50.579,541332.41,7,4,7,0.99907,135.6109,45.511669,1176256.34,0.0
2081,1562659198,A,S,35.8812,541513.69,7,4,8,12.21968,135.6109,45.511669,1176256.34,1.0
2081,1562706064,R,S,69.5074,588379.98,7,5,8,0.99956,135.6109,45.511669,1176256.34,0.0
2081,1562825659,A,S,809.9473,707974.8,7,5,9,1799.1968,135.6109,45.511669,1176256.34,0.2138
2081,1562862909,A,S,-218.3106,745224.6,7,6,9,0.99956,135.6109,45.511669,1176256.34,0.0
2081,1562904110,R,S,364.3034,786426.07,8,6,9,0.00103,135.6109,45.511669,1176256.34,1.0
2081,1562905008,R,S,297.8979,787324.07,8,6,10,0.3188,135.6109,45.511669,1176256.34,1.0
2081,1562905999,A,S,280.6497,788315.03,8,6,11,545.00229,135.6109,45.511669,1176256.34,1.0
2081,1562911672,A,S,-128.7599,793988.43,8,7,11,0.99956,135.6109,45.511669,1176256.34,0.0
2081,1562915091,R,S,-242.7776,797407.32,9,7,11,0.49989,135.6109,45.511669,1176256.34,0.0
2081,1562915234,R,S,-230.3385,797550.09,9,7,12,0.21124,135.6109,45.511669,1176256.34,0.7887
2081,1562915834,A,S,-298.1443,798149.99,9,7,13,451.51602,135.6109,45.511669,1176256.34,0.8027
2081,1562915986,A,S,-25.7515,798302.19,10,7,13,0.00204,135.6109,45.511669,1176256.34,1.0
2081,1562916207,R,S,20.7542,798523.42,11,7,13,0.37925,135.6109,45.511669,1176256.34,0.0
2081,1563148629,R,S,1284.1256,1030945.44,11,7,14,0.63728,135.6109,45.511669,1176256.34,1.0
2081,1563156965,A,S,1489.4062,1039280.9,11,7,15,228.42792,135.6109,45.511669,1176256.34,1.0
2081,1563157061,R,S,91.6173,1039377.18,11,8,15,0.99921,135.6109,45.511669,1176256.34,1.0
2081,1563157208,A,S,-8.8734,1039523.48,11,8,16,1.42677,135.6109,45.511669,1176256.34,1.0
2081,1563157354,R,S,50.2846,1039670.41,12,8,16,0.99853,135.6109,45.511669,1176256.34,0.0
2081,1563157619,A,S,-14.0287,1039934.71,12,8,17,221.63959,135.6109,45.511669,1176256.34,0.9031
2081,1563158119,A,S,-79.8577,1040434.48,13,8,17,0.60932,135.6109,45.511669,1176256.34,1.0
2081,1563158349,R,S,-14.9626,1040665.24,14,8,17,0.09091,135.6109,45.511669,1176256.34,1.0
2081,1563158954,A,S,-19.9576,1041269.51,14,8,18,0.00364,135.6109,45.511669,1176256.34,1.0
2081,1563172298,R,S,-79.8413,1054614.06,15,8,18,0.03292,135.6109,45.511669,1176256.34,1.0
2081,1563249700,R,S,-652.7224,1132016.31,15,8,19,0.03315,135.6109,45.511669,1176256.34,0.9668
2081,1563250288,A,S,-698.1048,1132604.26,15,8,20,285.01144,135.6109,45.511669,1176256.34,1.0
2081,1563250739,A,S,25.3536,1133055.46,16,8,20,1.35745,135.6109,45.511669,1176256.34,1.0
2081,1563250783,A,S,9.4022,1133099.19,16,9,20,0.03018,135.6109,45.511669,1176256.34,1.0
2081,1563250914,R,S,50.3091,1133229.97,16,10,20,0.99988,135.6109,45.511669,1176256.34,0.0
2081,1563251800,A,S,-52.1477,1134116.06,16,10,21,13077.27885,135.6109,45.511669,1176256.34,0.32
2081,1563268436,A,S,-72.5647,1150752.24,17,10,21,0.53514,135.6109,45.511669,1176256.34,0.0421
2081,1563269329,R,S,79.3166,1151644.78,18,10,21,0.30101,135.6109,45.511669,1176256.34,0.1602
2081,1563293935,R,S,829.9483,1176251.41,18,10,22,0.99995,135.6109,45.511669,1176256.34,0.0
2081,1563293940,FX,S,826.436,1176256.34,18,10,23,1.0,135.6109,45.511669,1176256.34,0.9577
2082,1563293940,FE,L,0.0,0.0,0,0,0,0.14742,34.2395,0.69237,22.74,0.9577
2082,1563293957,R,L,30.3337,16.92,0,0,0,0.02093,34.2395,0.69237,22.74,1.0
2083,1563293963,FE,S,,0.0,0,0,0,,152.8245,4.72066,2686.07,1.0
2083,1563294257,A,S,-40.3226,294.09,0,0,0,255.35577,152.8245,4.72066,2686.07,1.0
2083,1563294668,R,S,22.7545,704.98,1,0,0,0.16025,152.8245,4.72066,2686.07,0.8397
2083,1563295990,A,S,-0.0021,2027.33,1,0,1,61.02885,152.8245,4.72066,2686.07,1.0
2083,1563296023,A,S,10.0402,2060.26,1,0,1,0.79333,152.8245,4.72066,2686.07,0.0411
2083,1563296535,R,S,377.1495,2571.61,1,1,1,0.01109,152.8245,4.72066,2686.07,1.0
2083,1563296649,FX,S,425.0936,2686.07,1,1,2,1.0,152.8245,4.72066,2686.07,0.9799
2084,1563296649,FE,L,8.11,0.0,0,0,0,0.06411,73.2887,3.087659,504.17,0.9799
2084,1563296728,A,L,-114.0976,78.61,0,0,0,0.0005,73.2887,3.087659,504.17,0.0
2084,1563296763,A,L,-70.7419,113.92,1,0,0,0.99992,73.2887,3.087659,504.17,0.0
2084,1563296785,R,L,67.3992,135.75,2,0,0,0.00209,73.2887,3.087659,504.17,1.0
2084,1563296867,R,L,91.0586,217.41,2,0,1,0.26574,73.2887,3.087659,504.17,0.3633
2084,1563296911,A,L,35.8399,261.89,2,0,2,0.00189,73.2887,3.087659,504.17,1.0
2084,1563297017,R,L,77.7743,368.16,2,1,2,0.22496,73.2887,3.087659,504.17,1.0
2084,1563297040,R,L,85.1381,390.4,2,1,3,0.87803,73.2887,3.087659,504.17,0.0
2084,1563297153,FX,L,126.1645,504.17,2,1,4,1.0,73.2887,3.087659,504.17,0.0
2085,1563297153,FE,S,,0.0,0,0,0,,218.8225,10.949864,66027.89,0.0
2085,1563300367,A,S,-76.8751,3213.96,0,0,0,1650.55419,218.8225,10.949864,66027.89,1.0
2085,1563302267,R,S,95.1338,5113.95,1,0,0,0.22523,218.8225,10.949864,66027.89,0.7747
2085,1563302740,A,S,28.2049,5586.22,1,0,1,274.75616,218.8225,10.949864,66027.89,0.0045
2085,1563302891,R,S,47.2597,5738.13,1,1,1,0.99639,218.8225,10.949864,66027.89,0.0
2085,1563305145,A,S,33.8198,7991.65,1,1,2,1.23153,218.8225,10.949864,66027.89,1.0
2085,1563305638,R,S,77.1954,8485.1,1,2,2,0.99944,218.8225,10.949864,66027.89,0.0
2085,1563306342,A,S,-25.9147,9188.5,1,2,3,3.07389,218.8225,10.949864,66027.89,1.0
2085,1563329603,R,S,421.178,32449.85,2,2,3,0.15911,218.8225,10.949864,66027.89,0.0056
2085,1563329618,R,S,398.3395,32464.5,2,2,4,0.02497,218.8225,10.949864,66027.89,0.0
2085,1563329693,R,S,377.6463,32540.01,2,2,5,0.1294,218.8225,10.949864,66027.89,1.0
2085,1563363181,FX,S,471.8005,66027.89,2,2,6,1.0,218.8225,10.949864,66027.89,0.0
2086,1563363181,FE,L,,0.0,0,0,0,,48.0494,1.049453,3117.78,0.0
2086,1563363825,A,L,-53.2088,643.57,0,0,0,5.27538,48.0494,1.049453,3117.78,1.0
2086,1563364358,R,L,43.6508,1177.16,1,0,0,0.12142,48.0494,1.049453,3117.78,1.0
2086,1563366299,FX,L,142.9956,3117.78,1,0,1,1.0,48.0494,1.049453,3117.78,0.0
2087,1563366299,FE,S,,0.0,0,0,0,,-33.1142,-6.462617,26243.0,0.0
2087,1563366954,A,S,-115.9643,654.68,0,0,0,5714.28571,-33.1142,-6.462617,26243.0,0.0
2087,1563367722,A,S,-118.3954,1423.09,1,0,0,0.09593,-33.1142,-6.462617,26243.0,1.0
2087,1563368302,R,S,-49.3175,2002.53,2,0,0,0.06748,-33.1142,-6.462617,26243.0,1.0
2087,1563368385,R,S,-49.2191,2086.2,2,0,1,0.2642,-33.1142,-6.462617,26243.0,0.7358
2087,1563368589,A,S,-91.8444,2289.55,2,0,2,221.92857,-33.1142,-6.462617,26243.0,0.9612
2087,1563369228,R,S,44.8681,2928.94,3,0,2,0.15066,-33.1142,-6.462617,26243.0,0.8493
2087,1563373547,A,S,-102.2791,7247.53,3,0,3,5714.28571,-33.1142,-6.462617,26243.0,0.0
2087,1563375577,A,S,-88.8853,9277.8,4,0,3,0.21608,-33.1142,-6.462617,26243.0,0.7839
2087,1563384737,A,S,-156.788,18438.04,5,0,3,0.0295,-33.1142,-6.462617,26243.0,1.0
2087,1563385510,A,S,-163.7213,19210.9,6,0,3,0.2886,-33.1142,-6.462617,26243.0,0.1315
2087,1563385531,A,S,-85.7434,19232.44,7,0,3,0.00077,-33.1142,-6.462617,26243.0,0.0
2087,1563385550,R,S,-74.3811,19250.54,8,0,3,0.00743,-33.1142,-6.462617,26243.0,1.0
2087,1563388038,R,S,-43.5726,21739.31,8,0,4,0.00094,-33.1142,-6.462617,26243.0,1.0
2087,1563388183,R,S,-29.8376,21883.72,8,0,5,0.04397,-33.1142,-6.462617,26243.0,0.4755
2087,1563388528,R,S,-90.5065,22229.27,8,0,6,0.70798,-33.1142,-6.462617,26243.0,0.0198
2087,1563388656,R,S,-125.7238,22357.44,8,0,7,0.99975,-33.1142,-6.462617,26243.0,0.0
2087,1563388870,A,S,-135.2135,22570.87,8,0,8,11428.57143,-33.1142,-6.462617,26243.0,0.0
2087,1563390154,A,S,-86.9346,23855.21,9,0,8,0.46631,-33.1142,-6.462617,26243.0,0.0673
2087,1563390483,R,S,-2.4797,24183.62,10,0,8,0.03554,-33.1142,-6.462617,26243.0,1.0
2087,1563391000,R,S,27.8308,24700.54,10,0,9,0.09602,-33.1142,-6.462617,26243.0,0.0
2087,1563391510,R,S,36.4188,25211.14,10,0,10,0.00732,-33.1142,-6.462617,26243.0,1.0
2087,1563391550,R,S,70.1312,25251.42,10,0,11,0.62283,-33.1142,-6.462617,26243.0,0.3771
2087,1563392235,A,S,37.9344,25936.02,10,0,12,86.3,-33.1142,-6.462617,26243.0,1.0
2087,1563392288,A,S,7.3359,25989.0,10,1,12,2.52384,-33.1142,-6.462617,26243.0,0.0
2087,1563392430,A,S,2.3727,26131.16,10,2,12,0.37537,-33.1142,-6.462617,26243.0,0.0003
2087,1563392527,R,S,25.7164,26228.37,10,3,12,0.99683,-33.1142,-6.462617,26243.0,0.0
2087,1563392542,FX,S,25.7164,26243.0,10,3,13,1.0,-33.1142,-6.462617,26243.0,0.0
2088,1563392542,FE,L,,0.0,0,0,0,,12.5433,9.7e-05,222.68,0.0
2088,1563392765,FX,L,27.9784,222.68,0,0,0,1.0,12.5433,9.7e-05,222.68,0.0
2089,1563392765,FE,S,,0.0,0,0,0,,69.7032,0.000169,773.39,0.0
2089,1563393538,FX,S,84.2084,773.39,0,0,0,1.0,69.7032,0.000169,773.39,0.0
2090,1563393538,FE,L,,0.0,0,0,0,,68.1661,4.222891,23998.42,0.0
2090,1563393584,A,L,-44.5081,45.47,0,0,0,9.47043,68.1661,4.222891,23998.42,1.0
2090,1563394133,A,L,-51.7369,594.6,1,0,0,0.99962,68.1661,4.222891,23998.42,0.0
2090,1563394550,R,L,15.6769,1011.45,2,0,0,0.4999,68.1661,4.222891,23998.42,1.0
2090,1563405711,A,L,-56.4525,12173.05,2,0,1,0.00442,68.1661,4.222891,23998.42,1.0
2090,1563417183,R,L,122.2699,23644.94,3,0,1,0.2377,68.1661,4.222891,23998.42,0.1036
2090,1563417276,R,L,98.3103,23738.05,3,0,2,0.68031,68.1661,4.222891,23998.42,0.0
2090,1563417385,R,L,90.3234,23846.81,3,0,3,0.99911,68.1661,4.222891,23998.42,0.0
2090,1563417537,FX,L,69.9361,23998.42,3,0,4,1.0,68.1661,4.222891,23998.42,0.0
2091,1563417537,FE,S,,0.0,0,0,0,,36.2223,5.161418,81065.11,0.0
2091,1563417604,A,S,-15.3925,67.45,0,0,0,162.07407,36.2223,5.161418,81065.11,1.0
2091,1563417827,A,S,8.1847,290.58,1,0,0,0.21467,36.2223,5.161418,81065.11,1.0
2091,1563418403,A,S,-5.6617,866.1,1,1,0,6.6706,36.2223,5.161418,81065.11,0.0
2091,1563418605,A,S,-50.283,1068.22,2,1,0,0.79439,36.2223,5.161418,81065.11,0.0
2091,1563418636,A,S,-18.6048,1099.63,3,1,0,0.11454,36.2223,5.161418,81065.11,0.0
2091,1563421805,R,S,107.1835,4268.58,4,1,0,0.49998,36.2223,5.161418,81065.11,0.0
2091,1563424222,A,S,3.4871,6685.86,4,1,1,0.32096,36.2223,5.161418,81065.11,0.679
2091,1563425022,A,S,-65.5022,7485.78,4,2,1,0.18637,36.2223,5.161418,81065.11,0.6272
2091,1563425764,A,S,-85.9655,8227.73,5,2,1,0.15011,36.2223,5.161418,81065.11,0.5496
2091,1563426885,R,S,-37.2952,9348.1,6,2,1,0.00105,36.2223,5.161418,81065.11,1.0
2091,1563427136,A,S,-59.6907,9599.59,6,2,2,0.0023,36.2223,5.161418,81065.11,1.0
2091,1563427559,R,S,-16.7992,10022.71,7,2,2,0.0734,36.2223,5.161418,81065.11,1.0
2091,1563428974,R,S,-10.6914,11437.87,7,2,3,0.00292,36.2223,5.161418,81065.11,1.0
2091,1563429049,R,S,-16.7992,11512.12,7,2,4,0.07958,36.2223,5.161418,81065.11,1.0
2091,1563430805,A,S,-72.01,13268.81,7,2,5,0.14332,36.2223,5.161418,81065.11,0.5699
2091,1563430906,A,S,-55.2825,13369.62,8,2,5,0.09749,36.2223,5.161418,81065.11,0.61
2091,1563432082,R,S,-19.5657,14545.0,9,2,5,0.00184,36.2223,5.161418,81065.11,1.0
2091,1563432420,R,S,-29.7173,14883.94,9,2,6,0.01987,36.2223,5.161418,81065.11,1.0
2091,1563434535,R,S,0.7373,16998.63,9,2,7,0.15295,36.2223,5.161418,81065.11,1.0
2091,1563434717,R,S,10.8889,17180.34,9,2,8,5e-05,36.2223,5.161418,81065.11,1.0
2091,1563436778,R,S,62.961,19241.27,9,2,9,0.13723,36.2223,5.161418,81065.11,0.7254
2091,1563440145,R,S,132.7073,22608.12,9,2,10,0.00145,36.2223,5.161418,81065.11,1.0
2091,1563498602,FX,S,-847.4235,81065.11,9,2,11,1.0,36.2223,5.161418,81065.11,0.0
2092,1563498602,FE,L,,0.0,0,0,0,,-24.1657,-4.190066,29178.56,0.0
2092,1563501195,A,L,-89.3735,2593.16,0,0,0,201.54545,-24.1657,-4.190066,29178.56,1.0
2092,1563508490,A,L,-12.9794,9887.94,1,0,0,0.97711,-24.1657,-4.190066,29178.56,0.0061
2092,1563508500,A,L,2.1526,9898.31,2,0,0,0.00836,-24.1657,-4.190066,29178.56,0.0
2092,1563520492,A,L,-105.4301,21889.89,2,1,0,0.49992,-24.1657,-4.190066,29178.56,0.0
2092,1563521166,R,L,3.9938,22564.8,3,1,0,0.05774,-24.1657,-4.190066,29178.56,1.0
2092,1563521222,A,L,-0.7474,22620.46,3,1,1,0.0119,-24.1657,-4.190066,29178.56,1.0
2092,1563521328,R,L,-11.6394,22726.63,3,1,1,0.00175,-24.1657,-4.190066,29178.56,1.0
2092,1563522893,R,L,94.8246,24291.0,3,1,2,0.25685,-24.1657,-4.190066,29178.56,0.4862
2092,1563523380,R,L,121.1444,24778.19,3,1,3,0.31615,-24.1657,-4.190066,29178.56,0.6837
2092,1563524372,A,L,72.6628,25770.5,3,1,4,2647.79383,-24.1657,-4.190066,29178.56,0.1845
2092,1563524479,A,L,-33.6788,25877.46,3,2,4,0.99969,-24.1657,-4.190066,29178.56,0.0
2092,1563524799,A,L,-201.0594,26196.94,4,2,4,0.49992,-24.1657,-4.190066,29178.56,0.0
2092,1563524964,A,L,-151.589,26362.81,5,2,4,0.04626,-24.1657,-4.190066,29178.56,0.8612
2092,1563525200,R,L,-70.3408,26598.14,6,2,4,0.11589,-24.1657,-4.190066,29178.56,0.5364
2092,1563525758,R,L,-122.6369,27156.32,6,2,5,0.96301,-24.1657,-4.190066,29178.56,0.0369
2092,1563526306,A,L,-179.061,27704.45,6,2,6,680.14123,-24.1657,-4.190066,29178.56,0.7905
2092,1563526367,A,L,-38.6604,27765.79,7,2,6,0.03975,-24.1657,-4.190066,29178.56,0.7611
