symbol,kind,interval,d,cost_mode,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
SPY,ETF,15m,3,zero_cost,9,0.5747861486978061,-0.3333333333333333,-5.492729509367278,-9.602373055920951,5,1.3859838474983712,0.2,4,0.0,-1.0
SPY,ETF,15m,3,10bp_slip_plus_fees_proxy,9,0.5196285031301168,-0.40624203263124337,-6.651942770475349,-9.947391854306868,5,1.2453750776342614,0.12791654756151288,4,0.0,-1.0739402578721884
SPY,ETF,15m,4,zero_cost,7,0.31952533860721416,-0.5714285714285714,-7.454773485783239,-11.812700734598682,4,0.6722348624955057,-0.25,3,0.0,-1.0
SPY,ETF,15m,4,10bp_slip_plus_fees_proxy,7,0.28897988027692484,-0.6428140473473546,-8.32255556048407,-12.555316703706987,4,0.6015848941768258,-0.3286834463668665,3,0.0,-1.061654848654672
SPY,ETF,1h,3,zero_cost,3,0.97010101010101,0.0,0.06884228625270161,-3.9600000000000026,1,inf,2.0,2,0.0,-1.0
SPY,ETF,1h,3,10bp_slip_plus_fees_proxy,3,0.9289213414940526,-0.028580581359853568,-0.10437402598901802,-4.098166838075815,1,inf,1.9847767823500129,2,0.0,-1.0352592632147868
SPY,ETF,1h,4,zero_cost,1,0.0,-1.0,-2.0000000000000018,-2.0,0,,,1,0.0,-1.0
SPY,ETF,1h,4,10bp_slip_plus_fees_proxy,1,0.0,-1.0377836421308804,-2.075567284261759,-2.075567284261763,0,,,1,0.0,-1.0377836421308804
QQQ,ETF,15m,3,zero_cost,17,1.05976456894902,0.058823529411764705,1.3180606809708006,-6.822569727115319,10,1.2900636194908566,0.2,7,0.78269937096906,-0.14285714285714285
QQQ,ETF,15m,3,10bp_slip_plus_fees_proxy,17,0.9858883554022827,0.011108031568000946,-0.3274032926961934,-7.232750870328056,10,1.1944042152731298,0.15204561511464704,7,0.7344018876544673,-0.1902313734986363
QQQ,ETF,15m,4,zero_cost,9,0.5546602576355455,-0.3333333333333333,-6.10354232403475,-6.719346378486736,6,0.39344626616661865,-0.5,3,0.9523954650737534,0.0
QQQ,ETF,15m,4,10bp_slip_plus_fees_proxy,9,0.5172184380227203,-0.3851339286222356,-6.988334135277863,-7.356491413355492,6,0.3680679647148979,-0.5530384609666563,3,0.8866292581979813,-0.04932486393339416
QQQ,ETF,1h,3,zero_cost,2,1.9600000000000002,0.5,1.9200000000000106,-3.4729397046155954,1,0.0,-1.0,1,inf,2.0
QQQ,ETF,1h,3,10bp_slip_plus_fees_proxy,2,1.8761930554165696,0.47162189801814325,1.8051750470620354,-3.5322822414629815,1,0.0,-1.0301240325419994,1,inf,1.9733678285782859
QQQ,ETF,1h,4,zero_cost,2,inf,2.0,8.15999999999999,-0.9678390437966686,1,inf,2.0,1,inf,2.0
QQQ,ETF,1h,4,10bp_slip_plus_fees_proxy,2,inf,1.9771538594168092,8.064980359658325,-0.9678390437966629,1,inf,1.9809398902553326,1,inf,1.9733678285782859
ES=F,FUTURE,15m,3,zero_cost,24,0.6695805330691855,-0.25,-8.800371479962177,-18.92629803941918,12,0.3575450962878923,-0.5,12,1.077478193322055,0.0
ES=F,FUTURE,15m,3,10bp_slip_plus_fees_proxy,24,0.5809402237517598,-0.3525659436577396,-12.188498393914093,-21.025370518165687,12,0.3088582336388697,-0.6049087672897562,12,0.9349005083439821,-0.1002231200257231
ES=F,FUTURE,15m,4,zero_cost,9,1.3088298944862424,0.0,2.7807106851766905,-6.445410073216,3,1.3805766733987856,0.0,6,1.2761483868159667,0.0
ES=F,FUTURE,15m,4,10bp_slip_plus_fees_proxy,9,1.139025189708267,-0.1028189119163473,1.3974839800374284,-6.9132607445205965,3,1.1787767616251397,-0.11090979125723077,6,1.120508093409182,-0.09877347224590564
ES=F,FUTURE,1h,3,zero_cost,8,1.8098448461608931,0.5,6.584581679968626,-6.938864797940243,4,5.373563226331387,1.25,4,0.6778952608250814,-0.25
ES=F,FUTURE,1h,3,10bp_slip_plus_fees_proxy,8,1.654698538083301,0.4447762951386133,5.700940358217443,-7.145942655949522,4,4.973351914343734,1.2028034874008642,4,0.6217315594173339,-0.31325089712363774
ES=F,FUTURE,1h,4,zero_cost,5,2.279628815090846,0.8,5.1648365881559855,-4.401891104918647,2,inf,2.0,3,0.6338080920514356,0.0
ES=F,FUTURE,1h,4,10bp_slip_plus_fees_proxy,5,2.060160093088781,0.734755924847628,4.601956543228813,-4.597171007168603,2,inf,1.953487208734673,3,0.5632437201484156,-0.07773159774373524
NQ=F,FUTURE,15m,3,zero_cost,36,0.6116927264397521,-0.25,-18.81074663198512,-20.542496640887403,21,0.7383401506240411,-0.14285714285714285,15,0.4427865404980197,-0.4
NQ=F,FUTURE,15m,3,10bp_slip_plus_fees_proxy,36,0.5647938711653433,-0.3088335067949289,-22.002559819127796,-23.540690818014028,21,0.6855397296779608,-0.1946290901448323,15,0.4048641345920237,-0.46871969010506415
NQ=F,FUTURE,15m,4,zero_cost,19,0.5476497234244029,-0.3684210526315789,-12.86509542798856,-15.241751797628423,10,0.22335552275364054,-0.7,9,1.0408780356088652,0.0
NQ=F,FUTURE,15m,4,10bp_slip_plus_fees_proxy,19,0.509913083472356,-0.4249784153218604,-14.648147592963445,-16.751128203815508,10,0.20924554649678778,-0.760085493385866,9,0.970329115911571,-0.05263721747296538
NQ=F,FUTURE,1h,3,zero_cost,9,2.5148397268046785,0.6666666666666666,13.313962182207707,-5.776934368148698,3,inf,2.0,6,1.011810601843612,0.0
NQ=F,FUTURE,1h,3,10bp_slip_plus_fees_proxy,9,2.3168652131517584,0.6172655833964913,12.356752544373295,-6.102571225257701,3,inf,1.966967437223323,6,0.9305148455515232,-0.057585343516924646
NQ=F,FUTURE,1h,4,zero_cost,3,3.9984,1.0,5.996800000000002,-2.1599052662078373,1,inf,2.0,2,1.9600000000000002,0.5
NQ=F,FUTURE,1h,4,10bp_slip_plus_fees_proxy,3,3.8143488935325145,0.9660408839964179,5.785789031075583,-2.2156321594605393,1,inf,1.9590762626349294,2,1.8742110246179522,0.46952319467716197
