timestamp_ms,datetime_utc,open,high,low,close,base_volume,quote_volume
1575158400000,2019-12-01T00:00:00+00:00,151.5,151.5,150.26,150.45,297.42,44833.8871
1575159300000,2019-12-01T00:15:00+00:00,150.45,150.83,150.25,150.39,490.55,73821.9637
1575160200000,2019-12-01T00:30:00+00:00,150.39,150.89,150.26,150.47,339.86,51182.0643
1575161100000,2019-12-01T00:45:00+00:00,150.47,150.69,150.29,150.69,325.3,48948.3314
1575162000000,2019-12-01T01:00:00+00:00,150.69,150.76,148.67,148.83,1383.2,206865.043
1575162900000,2019-12-01T01:15:00+00:00,148.83,149.72,148.01,148.44,2924.55,434648.168
1575163800000,2019-12-01T01:30:00+00:00,148.44,149.38,148,148.7,2123.12,315580.8481
1575164700000,2019-12-01T01:45:00+00:00,148.7,148.98,148.13,148.29,841.11,124976.0588
1575165600000,2019-12-01T02:00:00+00:00,148.29,148.39,146.99,148.17,1622.55,239627.2203
1575166500000,2019-12-01T02:15:00+00:00,148.17,149.11,148.12,148.71,1359.73,201975.9572
1575167400000,2019-12-01T02:30:00+00:00,148.71,149,148,148.14,1245.87,184940.8549
1575168300000,2019-12-01T02:45:00+00:00,148.14,148.14,146.37,146.69,3047.85,448715.343
1575169200000,2019-12-01T03:00:00+00:00,146.69,147.47,145.89,146.58,1323.95,194193.4276
1575170100000,2019-12-01T03:15:00+00:00,146.58,147.19,146.46,146.68,744.91,109368.0007
1575171000000,2019-12-01T03:30:00+00:00,146.68,146.83,145.89,146.79,783.75,114753.9135
1575171900000,2019-12-01T03:45:00+00:00,146.79,147.28,146.57,147.15,496.79,73042.9803
1575172800000,2019-12-01T04:00:00+00:00,147.15,147.49,146.67,147.3,391.26,57544.8797
1575173700000,2019-12-01T04:15:00+00:00,147.3,147.37,146.97,147.27,767.52,112942.793
1575174600000,2019-12-01T04:30:00+00:00,147.27,147.79,146.94,147.71,1496.41,220475.8944
1575175500000,2019-12-01T04:45:00+00:00,147.71,148.25,147.41,148.16,1393.17,205784.2631
1575176400000,2019-12-01T05:00:00+00:00,148.16,148.39,147.55,148.37,987.45,145961.0675
1575177300000,2019-12-01T05:15:00+00:00,148.37,148.59,147.56,147.76,1076.24,159427.1264
1575178200000,2019-12-01T05:30:00+00:00,147.76,147.85,146.95,147.72,1621.71,239115.9711
1575179100000,2019-12-01T05:45:00+00:00,147.72,147.82,147.12,147.73,637.36,94033.3411
1575180000000,2019-12-01T06:00:00+00:00,147.73,148.1,147.43,147.63,652.87,96459.5176
1575180900000,2019-12-01T06:15:00+00:00,147.63,147.83,147.3,147.58,290.41,42852.2861
1575181800000,2019-12-01T06:30:00+00:00,147.58,148.1,147.35,147.89,373.49,55176.3578
1575182700000,2019-12-01T06:45:00+00:00,147.89,148,147.14,147.22,356.59,52580.0453
1575183600000,2019-12-01T07:00:00+00:00,147.22,147.95,147.14,147.68,505.88,74579.3009
1575184500000,2019-12-01T07:15:00+00:00,147.68,147.89,147.31,147.45,199.64,29473.1509
1575185400000,2019-12-01T07:30:00+00:00,147.45,147.7,147.38,147.47,138.31,20404.9669
1575186300000,2019-12-01T07:45:00+00:00,147.47,147.49,146.49,146.8,600.1,88135.9956
1575187200000,2019-12-01T08:00:00+00:00,146.8,147.36,146.29,147.25,421.22,61833.6472
1575188100000,2019-12-01T08:15:00+00:00,147.25,147.56,146.95,147.2,630.66,92848.3078
1575189000000,2019-12-01T08:30:00+00:00,147.2,147.37,146.67,146.79,297.79,43731.4129
1575189900000,2019-12-01T08:45:00+00:00,146.79,147.14,146.64,146.79,783.88,115200.9991
1575190800000,2019-12-01T09:00:00+00:00,146.79,147.04,146.7,146.8,377.77,55489.2635
1575191700000,2019-12-01T09:15:00+00:00,146.8,147.14,146.71,146.76,970.1,142471.2545
