timestamp_ms,datetime_utc,open,high,low,close,base_volume,quote_volume
1754006400000,2025-08-01T00:00:00+00:00,3696.92,3697.05,3656.38,3656.86,94583.94,347202193.7166
1754007300000,2025-08-01T00:15:00+00:00,3656.86,3697.37,3656.43,3688.81,69182.96,254784943.7
1754008200000,2025-08-01T00:30:00+00:00,3688.81,3690.67,3667.35,3667.81,31741.04,116730979.2558
1754009100000,2025-08-01T00:45:00+00:00,3667.81,3684.8,3613.77,3679.6,261235.66,951572881.1492
1754010000000,2025-08-01T01:00:00+00:00,3679.6,3693.68,3650.85,3655.13,77941.72,286097494.1552
1754010900000,2025-08-01T01:15:00+00:00,3655.13,3691.81,3652.01,3681.17,47750.82,175440091.4516
1754011800000,2025-08-01T01:30:00+00:00,3681.17,3695.37,3671.25,3690.57,36905.56,135929684.6142
1754012700000,2025-08-01T01:45:00+00:00,3690.57,3695.4,3672.3,3688.38,27921.3,102844394.3262
1754013600000,2025-08-01T02:00:00+00:00,3688.38,3709.21,3678.96,3706.65,40395.22,149265994.5886
1754014500000,2025-08-01T02:15:00+00:00,3706.65,3717.98,3702.5,3705.77,43996.58,163214174.0298
1754015400000,2025-08-01T02:30:00+00:00,3705.77,3722.24,3701.67,3712.29,27054.1,100439275.4454
1754016300000,2025-08-01T02:45:00+00:00,3712.29,3720.41,3710.53,3714.51,8997.76,33435127.4016
1754017200000,2025-08-01T03:00:00+00:00,3714.51,3715.2,3704.39,3706.74,21629.9,80225695.73
1754018100000,2025-08-01T03:15:00+00:00,3706.74,3722.5,3706.36,3718.62,19724.78,73285703.608
1754019000000,2025-08-01T03:30:00+00:00,3718.62,3720.1,3709.42,3709.71,10806.42,40128610.7058
1754019900000,2025-08-01T03:45:00+00:00,3709.71,3713.09,3699.25,3702.75,15867.36,58765210.3412
1754020800000,2025-08-01T04:00:00+00:00,3702.75,3702.75,3674.97,3683.7,65638.62,242108680.6138
1754021700000,2025-08-01T04:15:00+00:00,3683.7,3690.68,3676.46,3686.61,15701.86,57833415.4422
1754022600000,2025-08-01T04:30:00+00:00,3686.61,3693.74,3679.03,3685.84,12867.36,47436749.4062
1754023500000,2025-08-01T04:45:00+00:00,3685.84,3687.85,3677.91,3680.48,8708.38,32067274.6594
1754024400000,2025-08-01T05:00:00+00:00,3680.48,3691.75,3675.15,3688.82,9561.68,35244542.496
1754025300000,2025-08-01T05:15:00+00:00,3688.82,3689.17,3670.08,3677.11,16072.8,59118780.0428
1754026200000,2025-08-01T05:30:00+00:00,3677.11,3689.18,3670.33,3674.29,16378.3,60247331.9384
1754027100000,2025-08-01T05:45:00+00:00,3674.29,3679.42,3662.3,3673.53,22254.44,81677805.8222
1754028000000,2025-08-01T06:00:00+00:00,3673.53,3680.65,3661.01,3666.56,28796.34,105695609.5066
1754028900000,2025-08-01T06:15:00+00:00,3666.56,3672.88,3653,3656.42,43336.86,158751761.003
1754029800000,2025-08-01T06:30:00+00:00,3656.42,3662.74,3641.8,3645.46,50140.98,183065322.5218
1754030700000,2025-08-01T06:45:00+00:00,3645.46,3665.96,3639,3660.95,32415.02,118507068.0128
1754031600000,2025-08-01T07:00:00+00:00,3660.95,3667.94,3635.2,3643.24,40052.74,146149747.0108
1754032500000,2025-08-01T07:15:00+00:00,3643.24,3649.81,3627.48,3631.66,34184.46,124321385.479
1754033400000,2025-08-01T07:30:00+00:00,3631.66,3640.05,3622.67,3636.85,34246.28,124300230.8222
1754034300000,2025-08-01T07:45:00+00:00,3636.85,3650.51,3632.48,3649.07,22934.98,83488534.9202
1754035200000,2025-08-01T08:00:00+00:00,3649.07,3649.07,3593.27,3612.41,135073.18,487799451.095
1754036100000,2025-08-01T08:15:00+00:00,3612.41,3621.6,3598.99,3604.15,68562.34,247486541.5112
1754037000000,2025-08-01T08:30:00+00:00,3604.15,3621.43,3582.78,3616.71,119934.38,431899614.6938
1754037900000,2025-08-01T08:45:00+00:00,3616.71,3622.89,3606.98,3607.78,19869.36,71874553.7312
1754038800000,2025-08-01T09:00:00+00:00,3607.78,3633.3,3604.31,3626.26,56329.54,204133811.2854
1754039700000,2025-08-01T09:15:00+00:00,3626.26,3638.51,3623.21,3635.77,20725.88,75308425.6172
1754040600000,2025-08-01T09:30:00+00:00,3635.77,3637.77,3626.18,3633.41,12696.38,46128342.0164
1754041500000,2025-08-01T09:45:00+00:00,3633.41,3633.71,3615.3,3616.58,16174.64,58606766.9292
1754042400000,2025-08-01T10:00:00+00:00,3616.58,3631.44,3611.67,3628.56,15802.14,57221063.0514
1754043300000,2025-08-01T10:15:00+00:00,3628.56,3632.28,3620.01,3622.35,6481.58,23500082.528
1754044200000,2025-08-01T10:30:00+00:00,3622.35,3629.92,3615.51,3622.43,12642.22,45805472.2116
1754045100000,2025-08-01T10:45:00+00:00,3622.43,3625.86,3607.85,3614.16,26048.62,94125087.7282
1754046000000,2025-08-01T11:00:00+00:00,3614.16,3623.62,3604.79,3623.62,11596.06,41889535.7654
1754046900000,2025-08-01T11:15:00+00:00,3623.62,3626.5,3613.59,3621.41,13715.7,49660560.766
1754047800000,2025-08-01T11:30:00+00:00,3621.41,3633.65,3619.46,3629.94,16727.78,60695151.4074
1754048700000,2025-08-01T11:45:00+00:00,3629.94,3642.29,3629.28,3640.92,23268.08,84645111.059
1754049600000,2025-08-01T12:00:00+00:00,3640.92,3659.92,3638.94,3653.35,46390.88,169435593.1634
1754050500000,2025-08-01T12:15:00+00:00,3653.35,3653.98,3631.93,3643.08,25192.76,91719785.8286
1754051400000,2025-08-01T12:30:00+00:00,3643.08,3671.14,3629.28,3667.15,133471.92,487326458.1328
1754052300000,2025-08-01T12:45:00+00:00,3667.15,3672.89,3655,3661.71,41465.34,151933445.7856
1754053200000,2025-08-01T13:00:00+00:00,3661.71,3674.12,3658.65,3666.02,16029.18,58828148.2912
