cost_mult,start,end,candles,trades,pf,expectancy_r,return_pct,max_dd_pct
1.0,2019-08-28 13:00:00+00:00,2026-09-22 22:00:00+00:00,61688,989,1.1116231322240073,0.1273560528400933,703.3155764361817,-43.19630908070022
1.5,2019-08-28 13:00:00+00:00,2026-09-22 22:00:00+00:00,61688,989,1.0618267619181427,0.08860235963978604,270.26566487601525,-56.93388503656397
2.0,2019-08-28 13:00:00+00:00,2026-09-22 22:00:00+00:00,61688,989,1.022364572027157,0.04984977919552276,70.48813559899627,-71.95138056754023
