freq,period,trades,pf,expectancy_r
Y,2019,32,1.365428500933651,0.23029479232011218
Y,2020,107,1.3975308772353814,0.24631864348923888
Y,2021,133,1.5858359778163584,0.3356993436966721
Y,2022,168,1.1632677461853818,0.108614008146581
Y,2023,139,1.0264488081427114,0.0189052066655227
Y,2024,154,0.9529589608854954,-0.033965305231925376
Y,2025,159,1.231360641405084,0.15114279710630474
Y,2026,97,1.1193607696999652,0.0815007269101396
Q,2019Q3,8,1.0483382257026945,0.03388518254864098
Q,2019Q4,24,1.4875730916961007,0.29576466224393594
Q,2020Q1,17,1.2616419427614995,0.16922784913008004
Q,2020Q2,32,1.7689003242273853,0.42749166702230446
Q,2020Q3,30,1.022204517932791,0.015702334355066124
Q,2020Q4,28,1.5723769813848418,0.3331577872418383
Q,2021Q1,39,1.186953125896676,0.12019317573925711
Q,2021Q2,39,1.996566718161118,0.508832623111106
Q,2021Q3,27,0.9213730281561577,-0.0562731097070051
Q,2021Q4,28,2.81771674420163,0.7726921613779413
Q,2022Q1,42,1.8171753232793268,0.4429408078407533
Q,2022Q2,42,1.0190742536239181,0.013217207099140274
Q,2022Q3,44,0.9300775220783112,-0.0503946022136855
Q,2022Q4,40,1.0463381112926402,0.03264698096380614
Q,2023Q1,37,1.079770197747106,0.05492409493019499
Q,2023Q2,37,0.7470648588368639,-0.19765294477702142
Q,2023Q3,25,1.3161149677674084,0.20590322397488336
Q,2023Q4,40,1.0962682923834648,0.06903026428670367
Q,2024Q1,40,1.0617721579450718,0.042895440222227334
Q,2024Q2,35,0.892125811451267,-0.08072690547307337
Q,2024Q3,45,0.8804624784862979,-0.08898832857285383
Q,2024Q4,34,0.9950871570800942,-0.00342818050792976
Q,2025Q1,35,0.7372120009708487,-0.20134858297373398
Q,2025Q2,39,2.0441234403169695,0.539260268399687
Q,2025Q3,37,1.0769980730500763,0.05321474693579251
Q,2025Q4,48,1.2577764283673136,0.16830852166189622
Q,2026Q1,34,1.2475165301323892,0.1602784627473234
Q,2026Q2,39,0.8567454802923926,-0.10797808619876384
Q,2026Q3,24,1.4498896535194592,0.2778020057760973
