entry_time,r,side
2019-09-01 21:00:00+00:00,1.9253182206889832,short
2019-09-06 12:00:00+00:00,-1.1319020111339604,long
2019-09-07 13:00:00+00:00,-1.1553498300185912,short
2019-09-08 14:00:00+00:00,-1.0758804179625385,short
2019-09-08 21:00:00+00:00,1.980381119912523,short
2019-09-19 13:00:00+00:00,-1.0516181395732571,short
2019-09-21 06:00:00+00:00,-1.1932638891430198,long
2019-09-21 11:00:00+00:00,1.973396407618989,short
2019-10-04 00:00:00+00:00,1.9632581274575263,long
2019-10-07 19:00:00+00:00,-1.0724673800880362,short
2019-10-12 08:00:00+00:00,1.9743827617119276,long
2019-10-18 14:00:00+00:00,-1.056460506128476,long
2019-10-20 07:00:00+00:00,1.97234263547386,long
2019-10-20 15:00:00+00:00,-1.0484224827012558,short
2019-10-22 10:00:00+00:00,-1.1259755873757693,long
2019-10-24 10:00:00+00:00,1.977413861059121,long
2019-10-27 04:00:00+00:00,1.9816504491881641,short
2019-10-27 13:00:00+00:00,-1.072147798306367,short
2019-10-28 12:00:00+00:00,1.9723205876917391,long
2019-10-29 20:00:00+00:00,-1.0915096738027217,short
2019-10-30 09:00:00+00:00,1.985672988785958,short
2019-11-05 19:00:00+00:00,-1.1546365062318313,short
2019-11-10 23:00:00+00:00,-1.2684419940956693,long
2019-11-17 20:00:00+00:00,-1.2020336019953477,long
2019-11-22 01:00:00+00:00,-1.0938876613974764,long
2019-11-30 05:00:00+00:00,1.9642708760667027,short
2019-12-01 14:00:00+00:00,1.9397015634827928,short
2019-12-13 04:00:00+00:00,1.969035196589294,short
2019-12-20 04:00:00+00:00,1.9568418936145555,short
2019-12-24 11:00:00+00:00,-1.1309625439541655,long
2019-12-24 23:00:00+00:00,-1.0766228017531592,long
2019-12-29 08:00:00+00:00,-1.1649705094369036,short
2020-01-07 18:00:00+00:00,-1.1246837356382906,short
2020-01-16 22:00:00+00:00,1.9769949826558897,long
2020-01-17 19:00:00+00:00,1.9748394167584271,long
2020-01-20 22:00:00+00:00,-1.1685030579265747,long
2020-01-21 20:00:00+00:00,1.9782375456140622,short
2020-01-31 02:00:00+00:00,-1.0409197211335404,long
2020-01-31 18:00:00+00:00,-1.138145386794182,short
2020-02-01 05:00:00+00:00,-1.0895583125047021,long
2020-02-03 21:00:00+00:00,1.9862245263223408,long
2020-02-18 21:00:00+00:00,-1.0625234420617937,long
2020-02-20 23:00:00+00:00,-1.0383857954038473,long
2020-02-28 23:00:00+00:00,1.9850841509513877,short
2020-03-07 15:00:00+00:00,-1.2385344751782974,short
2020-03-14 22:00:00+00:00,-1.0148368789742512,long
2020-03-16 19:00:00+00:00,1.9953319604403965,long
2020-03-24 01:00:00+00:00,-1.0793688857757557,long
2020-03-24 15:00:00+00:00,1.9756205438600922,long
2020-04-11 14:00:00+00:00,-1.0409873192678658,long
2020-04-14 08:00:00+00:00,1.9775848470248134,long
2020-04-14 18:00:00+00:00,-1.136540520457591,long
2020-04-15 09:00:00+00:00,1.9758387531867605,short
2020-04-19 21:00:00+00:00,1.9590584577381585,short
2020-04-23 10:00:00+00:00,1.9714877305231466,long
2020-04-25 15:00:00+00:00,1.9706139192303838,long
2020-04-26 21:00:00+00:00,1.9833902113459398,long
2020-04-30 19:00:00+00:00,-1.0629628017877766,short
2020-05-07 17:00:00+00:00,-1.0682671077745365,short
2020-05-12 07:00:00+00:00,1.9873343341605512,long
2020-05-14 02:00:00+00:00,-1.0800677930739448,short
2020-05-15 02:00:00+00:00,1.9644751593292011,short
2020-05-15 07:00:00+00:00,1.9644751593292014,short
2020-05-15 22:00:00+00:00,-1.1103979867536031,short
2020-05-16 22:00:00+00:00,1.9724402960638514,long
2020-05-17 19:00:00+00:00,-1.1247541534227963,short
2020-05-18 14:00:00+00:00,1.9722736842105262,short
2020-05-19 07:00:00+00:00,-1.0961004445270308,long
2020-05-28 05:00:00+00:00,-1.0993471775779653,short
2020-06-01 08:00:00+00:00,1.9827254715146803,long
2020-06-06 19:00:00+00:00,1.9622208087615833,short
2020-06-08 08:00:00+00:00,1.9619890361295158,long
2020-06-09 17:00:00+00:00,-1.1858319790574163,short
2020-06-16 07:00:00+00:00,-1.0928192519917295,short
2020-06-17 06:00:00+00:00,1.903268729532286,long
2020-06-18 00:00:00+00:00,-1.0873095853206738,long
2020-06-19 12:00:00+00:00,-1.1087634607212558,long
2020-06-21 21:00:00+00:00,-1.2080448904929446,short
2020-06-26 05:00:00+00:00,-1.2009171491253994,long
2020-06-28 20:00:00+00:00,1.9618528531337696,short
2020-06-29 18:00:00+00:00,-1.0881844851480968,long
2020-07-01 20:00:00+00:00,1.9647001208824417,short
2020-07-03 23:00:00+00:00,1.9404269653423505,long
2020-07-04 05:00:00+00:00,-1.129679232158928,long
2020-07-10 18:00:00+00:00,1.983154947254305,long
2020-07-17 03:00:00+00:00,-1.1761069177322803,long
2020-07-19 11:00:00+00:00,1.9406742407537332,long
2020-07-19 19:00:00+00:00,1.9789024096385541,short
2020-07-22 10:00:00+00:00,-1.1373178839161728,short
2020-07-30 07:00:00+00:00,-1.0370151599862287,short
2020-08-02 21:00:00+00:00,-1.0228551293724886,short
