month,events,trades,avg_event_r,sum_r,positive_event_rate
2025-12,6,759,-0.14302735148577772,-110.74693618326359,0.3333333333333333
2026-01,6,569,0.3827515762511015,433.853374955866,0.3333333333333333
2026-02,5,407,0.8558823224702827,478.89458247231255,0.6
2026-05,1,79,-0.34467403635272176,-27.229248871865018,0.0
2026-06,8,679,0.4861582924016171,407.06610236368743,0.75
2026-07,3,220,-0.21756377092982257,-50.86828704942069,0.3333333333333333
2026-08,1,53,-0.868723247038101,-46.042332093019354,0.0
