removed_entry_time,trades,pf,avg_r,sum_r
2025-12-11 04:00:00+00:00,2698,1.8638530304650842,0.4227526770211593,1140.5867226030878
2025-12-12 16:00:00+00:00,2687,1.8686536531803133,0.4260770837241718,1144.8691239668497
2025-12-14 20:00:00+00:00,2712,1.7695890753414614,0.38372156071974184,1040.6528726719398
2025-12-15 16:00:00+00:00,2603,1.8308206385788313,0.41844582698821836,1089.2144876503323
2025-12-17 20:00:00+00:00,2579,1.7004919945108226,0.35286045534485305,910.027114334376
2025-12-18 20:00:00+00:00,2558,2.107048412914136,0.5062393074755521,1294.9601485224623
2026-01-25 20:00:00+00:00,2687,1.8933498215208584,0.43236386715690034,1161.7617110505912
2026-01-29 16:00:00+00:00,2658,1.8217450442000596,0.40911520434628107,1087.428213152415
2026-01-30 04:00:00+00:00,2714,1.8261946647109764,0.40979689032678523,1112.1887603468952
2026-01-31 12:00:00+00:00,2684,1.6125171325719825,0.31476302171481585,844.8239502825658
2026-01-31 16:00:00+00:00,2576,1.5368660885470815,0.2821349611191529,726.7796598429379
2026-01-31 20:00:00+00:00,2708,1.8642662891942872,0.421982224495758,1142.7278639345127
2026-02-05 12:00:00+00:00,2714,1.6749090193212488,0.3432466986238732,931.5715400651918
2026-02-05 16:00:00+00:00,2605,1.5000211543737851,0.26239500018230805,683.5389754749125
2026-02-05 20:00:00+00:00,2702,1.7759007132688012,0.3863673828048048,1043.9646683385827
2026-02-06 00:00:00+00:00,2694,1.8753606305225936,0.42609639765072865,1147.903695271063
2026-02-28 08:00:00+00:00,2708,1.8602768221756907,0.4205180267169218,1138.7628163494242
2026-05-28 04:00:00+00:00,2687,1.8331452946973352,0.4139026812304289,1112.1565044661625
2026-06-02 16:00:00+00:00,2656,1.8900318020074098,0.43537618224289404,1156.3591400371265
2026-06-04 04:00:00+00:00,2657,1.6434208033710291,0.33369833125917636,886.6364661556315
2026-06-05 04:00:00+00:00,2661,1.6768093263496335,0.3502808943735661,932.0974599280594
2026-06-05 08:00:00+00:00,2672,1.7135972825695052,0.36743672865403426,981.7909389635795
2026-06-05 16:00:00+00:00,2705,1.7763644374012724,0.39412155889482037,1066.098816810489
2026-06-23 08:00:00+00:00,2714,1.7972222744851432,0.3996055267802361,1084.5293996815608
2026-06-24 16:00:00+00:00,2674,1.7896781151028451,0.39293464540608336,1050.7072418158668
2026-06-24 20:00:00+00:00,2710,1.8345063007091331,0.411118995940361,1114.1324789983782
2026-07-27 16:00:00+00:00,2703,1.8318304962173975,0.40956153911439375,1107.0448402262064
2026-07-28 00:00:00+00:00,2704,1.8024566529594293,0.4011631375555689,1084.7451239502584
2026-07-29 04:00:00+00:00,2671,1.8389670365942834,0.41701987632191995,1113.8600896558482
2026-08-18 04:00:00+00:00,2713,1.8501044287238013,0.4168704709499877,1130.9695876873166
