entry_time,signals,symbols,event_avg_r,event_sum_r,wins,event_winrate,month,rank_abs_sum
2025-12-11 04:00:00+00:00,68,68,-0.8185215736586822,-55.659467008790386,7,0.10294117647058823,2025-12,15.0
2025-12-12 16:00:00+00:00,79,79,-0.7587578275006642,-59.94186837255247,6,0.0759493670886076,2025-12,13.0
2025-12-14 20:00:00+00:00,54,54,0.8198959800436612,44.2743829223577,27,0.5,2025-12,18.0
2025-12-15 16:00:00+00:00,163,163,-0.026302037153588833,-4.28723205603498,69,0.4233128834355828,2025-12,27.0
2025-12-17 20:00:00+00:00,187,187,0.9352948730477082,174.90014125992144,108,0.5775401069518716,2025-12,6.0
2025-12-18 20:00:00+00:00,208,208,-1.0097735236931005,-210.0328929281649,1,0.004807692307692308,2025-12,4.0
2026-01-25 20:00:00+00:00,79,79,-0.9725880437505539,-76.83445545629375,2,0.02531645569620253,2026-01,10.0
2026-01-29 16:00:00+00:00,108,108,-0.02315701442701704,-2.5009575581178405,48,0.4444444444444444,2026-01,28.0
2026-01-30 04:00:00+00:00,52,52,-0.5242597067807268,-27.26150475259779,13,0.25,2026-01,23.0
2026-01-31 12:00:00+00:00,82,82,2.928089089167458,240.10330531173153,81,0.9878048780487805,2026-01,3.0
2026-01-31 16:00:00+00:00,190,190,1.8849873460597864,358.1475957513594,164,0.8631578947368421,2026-01,2.0
2026-01-31 20:00:00+00:00,58,58,-0.9965622127623374,-57.80060834021557,1,0.017241379310344827,2026-01,14.0
2026-02-05 12:00:00+00:00,52,52,2.949148375559722,153.35571552910554,52,1.0,2026-02,7.0
2026-02-05 16:00:00+00:00,161,161,2.49309490757382,401.388280119385,144,0.8944099378881988,2026-02,1.0
2026-02-05 20:00:00+00:00,64,64,0.6400404258705437,40.962587255714794,27,0.421875,2026-02,19.0
2026-02-06 00:00:00+00:00,72,72,-0.8746727732884135,-62.97643967676577,2,0.027777777777777776,2026-02,12.0
2026-02-28 08:00:00+00:00,58,58,-0.9281993233642581,-53.83556075512697,2,0.034482758620689655,2026-02,16.0
2026-05-28 04:00:00+00:00,79,79,-0.34467403635272176,-27.229248871865018,26,0.3291139240506329,2026-05,24.0
2026-06-02 16:00:00+00:00,110,110,-0.6493807676620814,-71.43188444282896,19,0.17272727272727273,2026-06,11.0
2026-06-04 04:00:00+00:00,109,109,1.8191815544831746,198.29078943866602,106,0.9724770642201835,2026-06,5.0
2026-06-05 04:00:00+00:00,105,105,1.4555218634879825,152.82979566623817,102,0.9714285714285714,2026-06,8.0
2026-06-05 08:00:00+00:00,94,94,1.0971948577735955,103.13631663071799,88,0.9361702127659575,2026-06,9.0
2026-06-05 16:00:00+00:00,61,61,0.3086629308821015,18.828438783808192,49,0.8032786885245902,2026-06,26.0
2026-06-23 08:00:00+00:00,52,52,0.007651075244929798,0.3978559127363495,25,0.4807692307692308,2026-06,29.0
2026-06-24 16:00:00+00:00,92,92,0.3719566715046826,34.2200137784308,44,0.4782608695652174,2026-06,20.0
2026-06-24 20:00:00+00:00,56,56,-0.5215218465014485,-29.205223404081114,12,0.21428571428571427,2026-06,21.0
2026-07-27 16:00:00+00:00,63,63,-0.3510727719350645,-22.11758463190906,16,0.25396825396825395,2026-07,25.0
2026-07-28 00:00:00+00:00,62,62,0.002937607161918722,0.18213164403896076,32,0.5161290322580645,2026-07,30.0
2026-07-29 04:00:00+00:00,95,95,-0.3045561480163219,-28.932834061550583,30,0.3157894736842105,2026-07,22.0
2026-08-18 04:00:00+00:00,53,53,-0.868723247038101,-46.042332093019354,3,0.05660377358490566,2026-08,17.0
